Player,Age,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,MPG,3PAr,FTr,TS%,AST/TOV,AST_Ratio,PPS,STL+BLK,ORB_Rate,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,Cluster,pca1,pca2,Cluster Name
2022-2023 A.J. Green,23,35,-0.1989471320604883,0.1131094292192708,-0.5888858136937055,2.5272113810937133,2.06126203275933,0.8233895845811072,-1.5976442384976293,-1.581253490695398,-1.1843326555671958,0.9416696536535988,-1.25338489168685,-1.3998513186940695,2.074786062661832,-0.8912576271959861,-0.4491475933042099,-0.6795563028226161,-0.6963000898181685,-1.2405740682427338,-1.2010384681654762,-1.2991180262028443,0.1339570451500884,0.0228007996888716,0.6489457538613854,0.0283348413142569,-1.44092748046106,2.055377031970677,-1.6414973711504146,0.6003585731323255,0.5303031525629346,-0.6281337175407818,0.6087891162070891,-1.7396898117972497,-1.18005287499068,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,-0.4841534228547845,1.7774238855123468,21,-4.400664841800981,-0.7167161030980853,Facilitating Forwards
2022-2023 AJ Griffin,19,72,0.2421137474427487,0.2723987291900137,-0.0531020850810065,0.6701170677496856,0.527277545678754,0.5722779061063366,-0.1418322511271145,-0.1317825073555963,-0.0395076543391834,0.3001106110871978,-0.8558207474097254,-0.996852129403988,1.1532979399957384,-0.5969212945408611,-1.023669392378939,-0.9323766456571468,-0.8824704860230835,-0.2575486461828631,-0.7322529811887543,-1.1085690434736313,-0.8626786746387825,0.0800934295949152,0.1453669335744161,1.0707377358612855,-0.3087256459984235,0.3710542750368072,-1.221960160640715,0.1113802587129856,-0.1998209833784184,-1.012439859236834,0.1113749628545158,-0.7634362586639158,0.091548265305382,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,2.0654609733079115,-0.5626119960190291,24,-2.1362992115325588,-0.2539422092479249,Low-Usage Role Players
2022-2023 Aaron Gordon,27,68,0.9638497320844084,0.2723987291900137,1.2406196010813622,-0.7055083495421871,-0.73758685594909,0.1999399000920205,1.3139797362434007,0.916296511367029,1.1851888586024104,0.9897865818460788,0.6847403116641326,1.3808430874074928,-1.3329813343674952,0.9336276352657896,0.0487712992272218,0.4328532056493189,-0.0260866634804743,-0.4213862165261747,0.2053179927646899,-0.2510986211921717,-0.7860143885011769,0.7532818309909302,0.9510930460335668,0.0283348413142569,0.9605055116227994,-0.8682627535026026,1.3585894738151734,0.7858331061879372,0.107976446479211,-0.216377137152155,0.7858348318071562,-0.080058771470582,1.3316221046023682,-0.4889674672825597,2.025231468252456,-0.4696389545848506,-0.4841534228547845,-0.5626119960190291,11,3.5306726454074684,1.4187025635827526,Slashing Wings
2022-2023 Aaron Holiday,26,63,-1.0409724474757585,-0.8625375331015283,-0.6672931886126371,-0.2928207243546252,-0.4953787790416305,0.7367993506242896,-0.8314274030394635,-0.5554740255626153,-1.530442539659386,-0.6622279527624064,-0.8061252293750847,-0.9162522915459718,0.718633731190977,-0.538054028009836,-1.4449853783670736,-1.1851969884916775,0.0483814950014917,0.8893143462203197,-0.3806638659562127,-0.5369220952859914,0.2872856174252995,-1.037112853572939,-0.458927650769947,0.5495362885877714,-1.0215847324817726,-0.0261013750356676,-0.7707597644321703,-0.7316858006307022,0.5303031525629346,0.88164041055085,-0.7316998733362826,0.212817294469418,0.9638035929464828,-0.4889674672825597,-0.4937707198786941,2.1292952601940263,-0.4841534228547845,-0.5626119960190291,18,-2.92326019080851,-1.9760114576867536,Post-Up Bigs
2022-2023 Aaron Nesmith,23,73,-0.4796222371989119,-0.2652026582112431,-0.5496821262342397,0.3949919842913112,0.3658054944071139,0.3644613446099741,-0.6781840359478304,-0.6000731327423016,-0.5719843990963989,-0.2612535511584046,-0.0109969408208354,-0.1505538318948167,0.6664740261344055,-0.4203194949477858,-0.3725446867609129,-0.4267359599880853,-0.8452364067821004,-0.2575486461828631,-0.1462711224678516,-0.5369220952859914,1.5139141956269866,-0.2636623498413475,-0.3582118867125532,1.0707377358612855,0.3303121355819357,0.5911646353179381,-0.0187591040845954,-0.0572329531557523,-0.6967962355737931,-0.8751876657739582,-0.0656707527455512,-0.275309482097249,-0.2027065440193265,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,2.0654609733079115,-0.5626119960190291,24,-1.476192752561729,-0.8066637949832921,Low-Usage Role Players
2022-2023 Aaron Wiggins,24,70,-0.3994293500165051,-0.6833370706344427,0.5610890184506233,-0.4303832660838125,-0.6299388217679969,0.5982549762933818,-0.1035214093542063,-0.2432802753048118,0.4530333345612393,0.6048511563062373,-0.4582566031326006,-0.5938529401139064,0.605621036901739,0.1094859038314393,-0.5257504998475071,-0.30032578857082,-0.7335341690591515,-0.2575486461828631,-0.6150566094445737,-0.5369220952859914,-0.0960358132627278,-0.5214791844185447,0.4475142257465976,0.2889355649510142,-0.4182783492809761,-0.3371268841285697,-0.3749699431966045,0.6003585731323255,-0.5434088120567022,-0.4634310853853314,0.6003583678451802,-0.6658109033505825,0.8797307902822801,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,-0.4841534228547845,1.7774238855123468,23,0.0396777173658166,-1.2704953637060723,Bench Gunners
2022-2023 Admiral Schofield,25,37,-0.760297342337335,-0.7231593956271286,-0.2360526265585135,0.1198669008329366,0.2850694687712944,0.0007823619913404,-0.7931165612665554,-1.0683637581290066,1.4248033937431577,0.123681874381437,-0.4085610850979602,-0.6341528590429146,1.3184703393415478,0.1094859038314393,-0.9087650325639932,-0.578428165688804,-0.5845978520952195,-1.076736497899422,-0.6150566094445737,-0.8227455693798114,1.8205713401774088,-0.650387601707143,0.5482299898039915,0.5495362885877714,-1.1659254308863416,0.9309001914040308,-0.4066331288954497,0.2462708282079759,-0.041320645744091,-0.1614762597670051,0.2378361882831368,-1.1539376799172494,1.3841676062674946,-0.4889674672825597,2.025231468252456,-0.4696389545848506,-0.4841534228547845,-0.5626119960190291,12,-0.8468294635755723,-2.3105601586089017,Stretch Bigs
2022-2023 Al Horford,36,63,-0.8003937859285386,-0.922271020590557,0.0906447689370339,0.8764608803434668,0.3658054944071139,1.0571832162645147,-1.2528466625414547,-1.3359584012071235,0.0004281015176076,1.3747220073859203,-1.352775927756131,-1.4401512376230776,-0.4114932117014018,-0.2437176953547108,0.5466901917586535,0.2558789656651477,-0.0260866634804743,-1.2405740682427338,0.5569071079972314,-1.5849415002966645,-0.7860143885011769,-0.7936191764722529,1.857534922550112,-0.7534673295960148,0.9943501034872692,1.2897757788189184,-1.5940025926021468,1.055614245177918,3.42728029138906,1.1286943587840264,1.0556187793882124,-0.275309482097249,-0.5179795540100858,2.04512583538023,-0.4937707198786941,-0.4696389545848506,-0.4841534228547845,-0.5626119960190291,23,-0.7338665889097565,-2.1999142957519635,Bench Gunners
2022-2023 Alec Burks,31,51,0.3223066346251551,0.6108884916278416,-0.4320710638558424,1.289148505531028,0.930957673857853,0.7800944676026984,-0.3716973017645641,-0.0871834001759103,-1.0645253879968224,0.0434869940606366,1.7283461903915844,1.6226426009815416,0.45783520590812,-0.8912576271959861,-0.2193388736743184,-0.5278640971218977,0.0111474157605088,0.0701264945037607,-0.8494493529329348,-0.0605496384629583,0.0572927590124832,1.0110986655681276,0.5482299898039915,1.0707377358612855,-0.0089592609131173,0.5337445413315561,1.3190104916916168,0.5497746095717041,-0.0218915720985929,-0.3399041112687432,0.558204626035641,-0.6658109033505825,-1.2956529786539586,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,-0.4841534228547845,1.7774238855123468,21,-1.3613057351755902,2.760898385737459,Facilitating Forwards
2022-2023 Aleksej Pokusevski,21,34,-0.1989471320604883,0.033464779233899,-0.4582068554954862,0.1198669008329366,0.0428613918638349,0.3558023212142923,-0.2567647764458393,-0.0202847394063808,-0.7450393411424939,-0.5018381921208057,-0.8061252293750847,-0.6744527779719228,-1.1504223666694953,0.4038222364865645,0.4317858319437078,0.4834172742162254,-0.2122570596853894,-0.2575486461828631,2.1976563124157584,0.3205483269954682,-0.1727000994003333,-0.3496012947004134,-0.9625064710569164,-0.7534673295960148,-0.171932173654224,0.0265337111185155,-0.7945071537063043,-0.832853727751945,-0.5096635788829421,-0.1752014791132923,-0.8412996020410876,1.6771976241694189,0.4068212752961415,-0.4889674672825597,2.025231468252456,-0.4696389545848506,-0.4841534228547845,-0.5626119960190291,4,0.1149980772734869,-1.4785804811940084,Defensive Bigs
