Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,DeMar DeRozan,34,CHI,SF,79,79,2989,10.8,22.6,0.48,1.3,3.8,0.333,9.6,18.8,0.509,0.507,8.7,10.2,0.853,0.7,5,5.7,7,1.5,0.8,2.3,2.7,31.6,122,118,CPOY-2,derozde01
2,Domantas Sabonis,27,SAC,C,82,82,2928,10.5,17.7,0.594,0.5,1.4,0.379,10,16.3,0.613,0.609,4.8,6.9,0.704,4.9,13.7,18.6,11.2,1.2,0.8,4.5,4.1,26.4,127,112,MVP-8DPOY-10NBA3,sabondo01
3,Coby White,23,CHI,PG,79,78,2881,9.4,20.9,0.447,3.6,9.6,0.376,5.7,11.3,0.508,0.534,3.8,4.5,0.838,0.8,5.4,6.2,7,0.9,0.3,2.9,3.2,26.1,115,120,,whiteco01
4,Mikal Bridges,27,BRK,SF,82,82,2854,9.8,22.5,0.436,3.8,10.3,0.372,6,12.2,0.49,0.521,4.5,5.5,0.814,1.2,5.3,6.5,5.2,1.4,0.5,2.8,2,27.9,112,118,,bridgmi01
5,Paolo Banchero,21,ORL,PF,80,80,2799,11.3,24.9,0.455,2.1,6.2,0.339,9.2,18.7,0.493,0.497,7.2,9.9,0.725,1.5,8.3,9.8,7.6,1.3,0.8,4.4,2.7,31.9,109,112,AS,banchpa01
6,Kevin Durant,35,PHO,PF,75,75,2791,13.1,25.1,0.523,2.9,7.1,0.413,10.2,18,0.567,0.581,6.3,7.4,0.856,0.7,7.9,8.7,6.6,1.2,1.6,4.3,2.3,35.5,118,114,MVP-9ASNBA2,duranke01
7,Dejounte Murray,27,ATL,SG,78,78,2783,11.6,25.2,0.459,3.5,9.5,0.363,8.1,15.7,0.518,0.528,3.6,4.5,0.794,1.1,6.1,7.2,8.7,1.9,0.4,3.5,2.4,30.2,114,119,,murrade01
8,Anthony Edwards,22,MIN,SG,79,78,2770,12.8,27.8,0.461,3.4,9.5,0.357,9.4,18.3,0.515,0.522,7.5,9,0.836,0.9,6.7,7.7,7.2,1.8,0.7,4.3,2.5,36.6,112,110,MVP-7CPOY-8ASNBA2,edwaran01
9,Nikola Jokić,28,DEN,C,79,79,2737,14.9,25.6,0.583,1.5,4.2,0.359,13.4,21.4,0.626,0.612,6.5,7.9,0.817,4,13.6,17.7,12.8,2,1.2,4.3,3.5,37.8,131,108,MVP-1CPOY-4ASNBA1,jokicni01
10,Jalen Brunson,27,NYK,PG,77,77,2726,14.6,30.5,0.479,3.9,9.7,0.401,10.7,20.8,0.516,0.543,7.8,9.2,0.847,0.8,4.3,5.1,9.6,1.3,0.2,3.4,2.7,40.9,124,117,MVP-5CPOY-5ASNBA2,brunsja01
11,Josh Hart,28,NYK,SF,81,42,2707,5.5,12.6,0.434,1.5,4.8,0.31,4,7.8,0.511,0.493,1.7,2.1,0.791,2.4,10.2,12.6,6.2,1.4,0.4,2.2,3.2,14.2,115,113,,hartjo01
12,Anthony Davis,30,LAL,C,76,76,2700,12.6,22.6,0.556,0.5,1.9,0.271,12,20.7,0.582,0.567,7.4,9.1,0.816,4.2,12.7,16.9,4.7,1.6,3.1,2.8,3.1,33,124,109,DPOY-4ASNBA2,davisan02
13,Fred VanVleet,29,HOU,PG,73,73,2684,7.6,18.4,0.416,4.1,10.6,0.387,3.5,7.8,0.454,0.527,3.6,4.1,0.86,0.6,4.4,5,10.6,1.8,1.1,2.3,3.3,22.9,123,114,,vanvlfr01
14,De'Aaron Fox,26,SAC,PG,74,74,2659,13.2,28.3,0.465,3.9,10.6,0.369,9.2,17.7,0.522,0.534,5.7,7.7,0.738,1.2,5,6.2,7.6,2.7,0.6,3.5,3.5,35.9,113,114,CPOY-12,foxde01
15,Pascal Siakam,29,2TM,PF,80,80,2657,12.2,22.8,0.536,1.5,4.4,0.346,10.7,18.4,0.581,0.569,5.2,7.1,0.732,2.5,7.7,10.2,6.1,1.1,0.4,2.5,3.5,31.2,121,119,,siakapa01
16,Pascal Siakam,29,TOR,PF,39,39,1354,11.6,22.2,0.522,1.6,5.2,0.317,10,17,0.584,0.559,6,8,0.758,1.9,6.8,8.8,6.8,1.1,0.4,3,3.1,30.8,119,120,,siakapa01
17,Pascal Siakam,29,IND,PF,41,41,1303,12.9,23.5,0.549,1.4,3.7,0.386,11.5,19.8,0.58,0.579,4.4,6.3,0.699,3.1,8.5,11.5,5.5,1.1,0.5,2.1,3.8,31.6,123,119,,siakapa01
18,Jayson Tatum,25,BOS,PF,74,74,2645,12.6,26.6,0.471,4.3,11.4,0.376,8.3,15.3,0.542,0.552,7.7,9.3,0.833,1.3,10,11.2,6.8,1.4,0.8,3.5,2.7,37.1,121,111,MVP-6CPOY-9ASNBA1,tatumja01
19,Austin Reaves,25,LAL,SG,82,57,2629,8.3,17,0.486,2.8,7.6,0.367,5.5,9.4,0.583,0.568,4.2,4.9,0.853,1,5.3,6.4,8.1,1.2,0.5,3.1,2.8,23.5,119,118,,reaveau01
20,Tyrese Maxey,23,PHI,PG,70,70,2626,12,26.6,0.45,4,10.7,0.373,8,15.9,0.501,0.524,6.1,7.1,0.868,0.7,4.2,4.8,8.1,1.3,0.6,2.2,2.8,34,121,117,MIP-1AS,maxeyty01
21,Luka Dončić,24,DAL,PG,70,70,2624,14.7,30.2,0.487,5.2,13.6,0.382,9.5,16.6,0.573,0.573,8.7,11.1,0.786,1.1,10.8,11.8,12.5,1.8,0.7,5.2,2.7,43.3,122,113,MVP-3CPOY-6ASNBA1,doncilu01
22,Nikola Vučević,33,CHI,C,76,74,2610,11.2,23.1,0.484,1.8,6,0.294,9.4,17.2,0.55,0.522,2,2.5,0.822,4,11.3,15.3,4.9,1,1.1,2.3,3.6,26.2,114,115,,vucevni01
23,Jalen Green,21,HOU,SG,82,82,2601,10.5,24.8,0.423,3.7,11.3,0.332,6.8,13.6,0.498,0.498,5.3,6.6,0.804,0.8,7.1,7.9,5.4,1.2,0.5,3.6,2.1,30,107,115,,greenja05
24,Rudy Gobert,31,MIN,C,76,76,2593,7.7,11.7,0.661,0,0.1,0,7.7,11.6,0.664,0.661,4.7,7.4,0.638,5.4,13.3,18.7,1.9,1,3.1,2.2,4.5,20.2,131,104,DPOY-1,goberru01
25,Keegan Murray,23,SAC,SF,77,77,2588,8.3,18.3,0.454,3.4,9.6,0.358,4.9,8.7,0.56,0.548,1.9,2.3,0.831,2,5.9,7.9,2.4,1.5,1.1,1.2,3.8,22,117,116,,murrake02
26,Miles Bridges,25,CHO,SF,69,67,2581,10.7,23.1,0.462,3,8.6,0.349,7.7,14.5,0.529,0.527,3.3,4,0.825,1.4,8.3,9.7,4.4,1.2,0.6,2.6,2.3,27.7,108,120,,bridgmi02
27,Damian Lillard,33,MIL,PG,73,73,2579,10.1,23.8,0.424,4.1,11.6,0.354,6,12.2,0.49,0.51,8.8,9.6,0.92,0.7,5.3,6,9.5,1.3,0.3,3.6,2.5,33.1,120,118,CPOY-11AS,lillada01
28,Giannis Antetokounmpo,29,MIL,PF,73,73,2567,15.7,25.6,0.611,0.6,2.3,0.274,15,23.3,0.645,0.624,9.6,14.6,0.657,3.7,12.1,15.7,8.9,1.6,1.5,4.7,3.9,41.6,126,112,MVP-4DPOY-9CPOY-12ASNBA1,antetgi01
29,Michael Porter Jr.,25,DEN,SF,81,81,2565,10.1,20.9,0.484,4.3,10.7,0.397,5.8,10.1,0.575,0.586,1.8,2.1,0.836,2,8.9,10.9,2.4,0.8,1,1.8,2.9,26.2,117,114,,portemi01
30,Shai Gilgeous-Alexander,25,OKC,PG,75,75,2553,15,28,0.535,1.8,5.1,0.353,13.2,22.9,0.576,0.567,10.7,12.2,0.874,1.2,6.6,7.8,8.8,2.8,1.3,3.1,3.5,42.4,129,110,MVP-2DPOY-7CPOY-3ASNBA1,gilgesh01
31,Grayson Allen,28,PHO,SG,75,74,2513,6.6,13.3,0.499,4,8.6,0.461,2.6,4.6,0.57,0.649,2.5,2.9,0.878,0.9,4.8,5.7,4.4,1.3,0.9,1.8,3.1,19.7,130,117,,allengr01
