Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Mikal Bridges,26,2TM,SG,83,83,2963,9.8,20.9,0.468,2.8,7.3,0.382,7,13.6,0.514,0.535,5.2,5.8,0.895,1.3,4.7,6,4.5,1.5,1,2.1,2.6,27.6,118,115,,bridgmi01
2,Mikal Bridges,26,PHO,SF,56,56,2040,8.5,18.3,0.463,2.4,6.3,0.387,6.1,12.1,0.503,0.529,3.7,4.2,0.897,1.3,4.5,5.8,4.8,1.6,1.1,1.9,2.8,23.1,118,114,,bridgmi01
3,Mikal Bridges,26,BRK,SG,27,27,923,12.6,26.6,0.475,3.6,9.6,0.376,9,17,0.531,0.543,8.5,9.5,0.894,1.2,5.2,6.4,3.8,1.4,0.8,2.6,2.3,37.3,117,116,,bridgmi01
4,Anthony Edwards,21,MIN,SG,79,79,2842,11.8,25.8,0.459,3.6,9.7,0.369,8.3,16.1,0.513,0.528,5.3,7.1,0.756,0.8,6.9,7.7,5.9,2.1,1,4.3,3.1,32.5,106,113,AS,edwaran01
5,Zach LaVine,27,CHI,SG,77,77,2768,11.8,24.4,0.485,3.6,9.6,0.375,8.3,14.9,0.556,0.558,6.4,7.5,0.848,0.7,5.3,6.1,5.8,1.2,0.3,3.4,2.8,33.7,116,115,,lavinza01
6,Nikola Vučević,32,CHI,C,82,82,2746,10.6,20.4,0.52,2.1,6.2,0.349,8.4,14.2,0.594,0.573,2.3,2.8,0.835,2.8,13.2,16,4.7,1.1,1,2.5,3.2,25.7,117,110,,vucevni01
7,Julius Randle,28,NYK,PF,77,77,2737,11.9,25.9,0.459,3.9,11.5,0.343,7.9,14.4,0.553,0.536,7.3,9.6,0.757,2.5,11.3,13.9,5.7,0.9,0.4,3.9,4.2,35,117,114,CPOY-14ASNBA3,randlju01
8,Domantas Sabonis,26,SAC,C,79,79,2736,10.1,16.4,0.615,0.5,1.5,0.373,9.5,15,0.639,0.632,5.7,7.7,0.742,4.4,12.6,17,10,1.1,0.7,4,4.9,26.4,132,114,MVP-7ASNBA3,sabondo01
9,Jayson Tatum,24,BOS,SF,74,74,2732,13,27.8,0.466,4.3,12.2,0.35,8.7,15.6,0.558,0.543,9.5,11.1,0.854,1.4,10.2,11.6,6.1,1.4,0.9,3.8,2.9,39.7,118,110,MVP-4CPOY-10ASNBA1,tatumja01
10,Spencer Dinwiddie,29,2TM,SG,79,79,2725,8.3,19,0.438,3.3,8.9,0.369,5.1,10.2,0.498,0.524,4.9,6,0.812,0.5,4.4,4.9,9.3,1.2,0.4,2.6,3.4,24.8,118,118,,dinwisp01
11,Spencer Dinwiddie,29,DAL,SG,53,53,1808,8.7,19.1,0.455,3.8,9.4,0.405,4.9,9.7,0.504,0.555,4.7,5.7,0.821,0.5,4,4.5,7.7,1.1,0.4,2.5,3.4,25.8,120,119,,dinwisp01
12,Spencer Dinwiddie,29,BRK,PG,26,26,917,7.7,19,0.404,2.3,7.9,0.289,5.4,11,0.488,0.465,5.2,6.5,0.797,0.5,5.2,5.7,12.6,1.5,0.4,2.9,3.4,22.8,115,116,,dinwisp01
13,Evan Mobley,21,CLE,PF,79,79,2715,9.7,17.5,0.554,0.4,1.9,0.216,9.3,15.6,0.595,0.566,3.8,5.6,0.674,3.5,9.7,13.1,4.1,1.1,2.2,2.7,4,23.6,117,108,DPOY-3,mobleev01
14,Dejounte Murray,26,ATL,SG,74,74,2693,10.8,23.3,0.464,2.4,6.9,0.344,8.5,16.5,0.514,0.514,2.8,3.4,0.832,0.9,5.9,6.9,7.9,2,0.3,2.8,1.9,26.8,112,116,,murrade01
