Player,Age,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,MPG,3PAr,FTr,TS%,AST/TOV,AST_Ratio,PPS,STL+BLK,ORB_Rate,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,Cluster,pca1,pca2
2022-2023 A.J. Green,23,35,-0.19894713206048836,0.11310942921927081,-0.5888858136937055,2.5272113810937133,2.06126203275933,0.8233895845811072,-1.5976442384976293,-1.581253490695398,-1.1843326555671958,0.9416696536535988,-1.25338489168685,-1.3998513186940695,2.0747860626618317,-0.8912576271959861,-0.4491475933042099,-0.6795563028226161,-0.6963000898181685,-1.2405740682427338,-1.2010384681654762,-1.2991180262028443,0.13395704515008844,0.02280079968887164,0.6489457538613854,0.028334841314256932,-1.44092748046106,2.055377031970677,-1.6414973711504146,0.6003585731323255,0.5303031525629346,-0.6281337175407818,0.6087891162070891,-1.7396898117972495,-1.18005287499068,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,-0.4841534228547845,1.7774238855123468,14,-4.375707387148964,-0.2841273130337668
2022-2023 AJ Griffin,19,72,0.2421137474427487,0.2723987291900137,-0.05310208508100653,0.6701170677496856,0.527277545678754,0.5722779061063366,-0.14183225112711456,-0.13178250735559635,-0.039507654339183476,0.30011061108719783,-0.8558207474097254,-0.9968521294039879,1.1532979399957384,-0.5969212945408611,-1.023669392378939,-0.9323766456571467,-0.8824704860230835,-0.2575486461828631,-0.7322529811887543,-1.1085690434736313,-0.8626786746387825,0.08009342959491525,0.1453669335744161,1.0707377358612857,-0.3087256459984235,0.3710542750368072,-1.221960160640715,0.1113802587129856,-0.1998209833784184,-1.012439859236834,0.11137496285451585,-0.7634362586639158,0.09154826530538204,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,2.0654609733079115,-0.5626119960190291,14,-2.083062157149521,0.04532922171999865
2022-2023 Aaron Gordon,27,68,0.9638497320844085,0.2723987291900137,1.2406196010813622,-0.7055083495421871,-0.73758685594909,0.19993990009202053,1.3139797362434007,0.916296511367029,1.1851888586024104,0.9897865818460789,0.6847403116641326,1.3808430874074928,-1.3329813343674952,0.9336276352657896,0.04877129922722181,0.43285320564931895,-0.026086663480474396,-0.4213862165261747,0.2053179927646899,-0.2510986211921717,-0.7860143885011769,0.7532818309909302,0.9510930460335669,0.028334841314256932,0.9605055116227994,-0.8682627535026026,1.3585894738151734,0.7858331061879372,0.10797644647921102,-0.21637713715215506,0.7858348318071562,-0.08005877147058203,1.3316221046023682,-0.4889674672825597,2.025231468252456,-0.4696389545848506,-0.4841534228547845,-0.5626119960190291,17,3.689951277832285,1.1324263375691042
2022-2023 Aaron Holiday,26,63,-1.0409724474757585,-0.8625375331015283,-0.6672931886126371,-0.2928207243546252,-0.4953787790416305,0.7367993506242896,-0.8314274030394635,-0.5554740255626153,-1.530442539659386,-0.6622279527624064,-0.8061252293750847,-0.9162522915459718,0.718633731190977,-0.538054028009836,-1.4449853783670736,-1.1851969884916775,0.0483814950014917,0.8893143462203197,-0.38066386595621277,-0.5369220952859914,0.2872856174252995,-1.037112853572939,-0.45892765076994707,0.5495362885877714,-1.0215847324817726,-0.02610137503566763,-0.7707597644321703,-0.7316858006307022,0.5303031525629346,0.88164041055085,-0.7316998733362826,0.212817294469418,0.9638035929464827,-0.4889674672825597,-0.4937707198786941,2.1292952601940263,-0.4841534228547845,-0.5626119960190291,6,-2.918123473982099,-2.0161717924395726
2022-2023 Aaron Nesmith,23,73,-0.4796222371989119,-0.26520265821124317,-0.5496821262342397,0.3949919842913112,0.3658054944071139,0.3644613446099741,-0.6781840359478304,-0.6000731327423016,-0.5719843990963989,-0.2612535511584046,-0.010996940820835405,-0.15055383189481675,0.6664740261344055,-0.4203194949477858,-0.37254468676091296,-0.4267359599880853,-0.8452364067821004,-0.2575486461828631,-0.1462711224678516,-0.5369220952859914,1.5139141956269866,-0.2636623498413475,-0.3582118867125532,1.0707377358612857,0.3303121355819357,0.5911646353179381,-0.018759104084595437,-0.05723295315575234,-0.6967962355737931,-0.8751876657739582,-0.06567075274555129,-0.275309482097249,-0.2027065440193265,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,2.0654609733079115,-0.5626119960190291,23,-1.4515182100885589,-0.578244233701192
2022-2023 Aaron Wiggins,24,70,-0.3994293500165051,-0.6833370706344427,0.5610890184506233,-0.4303832660838125,-0.6299388217679969,0.5982549762933818,-0.10352140935420638,-0.24328027530481183,0.4530333345612393,0.6048511563062373,-0.4582566031326006,-0.5938529401139064,0.605621036901739,0.10948590383143936,-0.5257504998475071,-0.30032578857082,-0.7335341690591515,-0.2575486461828631,-0.6150566094445737,-0.5369220952859914,-0.09603581326272781,-0.5214791844185447,0.44751422574659766,0.2889355649510142,-0.4182783492809761,-0.3371268841285697,-0.3749699431966045,0.6003585731323255,-0.5434088120567022,-0.4634310853853314,0.6003583678451802,-0.6658109033505825,0.8797307902822801,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,-0.4841534228547845,1.7774238855123468,5,0.2097416093733021,-1.3434674975643497
2022-2023 Admiral Schofield,25,37,-0.760297342337335,-0.7231593956271286,-0.2360526265585135,0.11986690083293665,0.2850694687712944,0.0007823619913404047,-0.7931165612665554,-1.0683637581290066,1.4248033937431575,0.12368187438143703,-0.4085610850979602,-0.6341528590429146,1.3184703393415478,0.10948590383143936,-0.9087650325639931,-0.578428165688804,-0.5845978520952195,-1.076736497899422,-0.6150566094445737,-0.8227455693798114,1.8205713401774086,-0.650387601707143,0.5482299898039915,0.5495362885877714,-1.1659254308863416,0.9309001914040308,-0.4066331288954497,0.24627082820797594,-0.041320645744091014,-0.16147625976700514,0.23783618828313685,-1.1539376799172494,1.3841676062674946,-0.4889674672825597,2.025231468252456,-0.4696389545848506,-0.4841534228547845,-0.5626119960190291,5,-1.1049200748724506,-2.1522578148762856
2022-2023 Al Horford,36,63,-0.8003937859285386,-0.922271020590557,0.09064476893703394,0.8764608803434668,0.3658054944071139,1.0571832162645147,-1.2528466625414547,-1.3359584012071235,0.00042810151760768237,1.3747220073859205,-1.352775927756131,-1.4401512376230776,-0.41149321170140185,-0.24371769535471086,0.5466901917586535,0.2558789656651477,-0.026086663480474396,-1.2405740682427338,0.5569071079972314,-1.5849415002966645,-0.7860143885011769,-0.7936191764722529,1.8575349225501117,-0.7534673295960148,0.9943501034872693,1.2897757788189184,-1.5940025926021468,1.055614245177918,3.4272802913890597,1.1286943587840264,1.0556187793882124,-0.275309482097249,-0.5179795540100858,2.04512583538023,-0.4937707198786941,-0.4696389545848506,-0.4841534228547845,-0.5626119960190291,9,-1.4828371191072265,-1.8919336812215914
2022-2023 Alec Burks,31,51,0.32230663462515513,0.6108884916278416,-0.4320710638558424,1.289148505531028,0.930957673857853,0.7800944676026984,-0.3716973017645641,-0.08718340017591032,-1.0645253879968224,0.043486994060636684,1.7283461903915844,1.6226426009815416,0.45783520590812005,-0.8912576271959861,-0.21933887367431848,-0.5278640971218977,0.011147415760508815,0.07012649450376074,-0.8494493529329348,-0.0605496384629583,0.057292759012483256,1.0110986655681276,0.5482299898039915,1.0707377358612857,-0.008959260913117327,0.5337445413315561,1.3190104916916168,0.5497746095717041,-0.02189157209859292,-0.3399041112687432,0.558204626035641,-0.6658109033505825,-1.2956529786539586,-0.4889674672825597,-0.4937707198786941,-0.4696389545848506,-0.4841534228547845,1.7774238855123468,2,-0.9781340071842138,2.862218611915872
2022-2023 Aleksej Pokusevski,21,34,-0.19894713206048836,0.03346477923389904,-0.45820685549548623,0.11986690083293665,0.04286139186383493,0.35580232121429234,-0.2567647764458393,-0.02028473940638087,-0.7450393411424939,-0.5018381921208057,-0.8061252293750847,-0.6744527779719228,-1.1504223666694953,0.40382223648656457,0.43178583194370784,0.4834172742162254,-0.21225705968538947,-0.2575486461828631,2.1976563124157584,0.3205483269954682,-0.17270009940033335,-0.3496012947004134,-0.9625064710569164,-0.7534673295960148,-0.17193217365422403,0.026533711118515577,-0.7945071537063043,-0.832853727751945,-0.5096635788829421,-0.17520147911329234,-0.8412996020410876,1.6771976241694189,0.4068212752961415,-0.4889674672825597,2.025231468252456,-0.4696389545848506,-0.4841534228547845,-0.5626119960190291,23,-0.0732929186986217,-1.4352112948805413
