Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,MPG,Primary_Position,3PAr,FTr,TS%,AST/TOV,AST_Ratio,PPS,STL+BLK,ORB_Rate
1,DeMar DeRozan,34,CHI,SF,79,79,2989,10.8,22.6,0.48,1.3,3.8,0.333,9.6,18.8,0.509,0.507,8.7,10.2,0.853,0.7,5.0,5.7,7.0,1.5,0.8,2.3,2.7,31.6,122.0,118,CPOY-2,derozde01,37.835,Forward,0.168,0.451,0.583,3.043,0.192,1.167,2.3,0.123
2,Domantas Sabonis,27,SAC,C,82,82,2928,10.5,17.7,0.594,0.5,1.4,0.379,10.0,16.3,0.613,0.609,4.8,6.9,0.704,4.9,13.7,18.6,11.2,1.2,0.8,4.5,4.1,26.4,127.0,112,MVP-8DPOY-10NBA3,sabondo01,35.707,Center,0.079,0.39,0.637,2.489,0.307,1.273,2.0,0.263
3,Coby White,23,CHI,PG,79,78,2881,9.4,20.9,0.447,3.6,9.6,0.376,5.7,11.3,0.508,0.534,3.8,4.5,0.838,0.8,5.4,6.2,7.0,0.9,0.3,2.9,3.2,26.1,115.0,120,,whiteco01,36.468,Guard,0.459,0.215,0.57,2.414,0.214,1.141,1.2,0.129
4,Mikal Bridges,27,BRK,SF,82,82,2854,9.8,22.5,0.436,3.8,10.3,0.372,6.0,12.2,0.49,0.521,4.5,5.5,0.814,1.2,5.3,6.5,5.2,1.4,0.5,2.8,2.0,27.9,112.0,118,,bridgmi01,34.805,Forward,0.458,0.244,0.56,1.857,0.158,1.12,1.9,0.185
5,Paolo Banchero,21,ORL,PF,80,80,2799,11.3,24.9,0.455,2.1,6.2,0.339,9.2,18.7,0.493,0.497,7.2,9.9,0.725,1.5,8.3,9.8,7.6,1.3,0.8,4.4,2.7,31.9,109.0,112,AS,banchpa01,34.988,Forward,0.249,0.398,0.545,1.727,0.184,1.09,2.1,0.153
6,Kevin Durant,35,PHO,PF,75,75,2791,13.1,25.1,0.523,2.9,7.1,0.413,10.2,18.0,0.567,0.581,6.3,7.4,0.856,0.7,7.9,8.7,6.6,1.2,1.6,4.3,2.3,35.5,118.0,114,MVP-9ASNBA2,duranke01,37.213,Forward,0.283,0.295,0.626,1.535,0.168,1.252,2.8,0.081
7,Dejounte Murray,27,ATL,SG,78,78,2783,11.6,25.2,0.459,3.5,9.5,0.363,8.1,15.7,0.518,0.528,3.6,4.5,0.794,1.1,6.1,7.2,8.7,1.9,0.4,3.5,2.4,30.2,114.0,119,,murrade01,35.679,Guard,0.377,0.179,0.556,2.486,0.221,1.111,2.3,0.153
8,Anthony Edwards,22,MIN,SG,79,78,2770,12.8,27.8,0.461,3.4,9.5,0.357,9.4,18.3,0.515,0.522,7.5,9.0,0.836,0.9,6.7,7.7,7.2,1.8,0.7,4.3,2.5,36.6,112.0,110,MVP-7CPOY-8ASNBA2,edwaran01,35.063,Guard,0.342,0.324,0.576,1.674,0.166,1.152,2.5,0.118
9,Nikola Jokić,28,DEN,C,79,79,2737,14.9,25.6,0.583,1.5,4.2,0.359,13.4,21.4,0.626,0.612,6.5,7.9,0.817,4.0,13.6,17.7,12.8,2.0,1.2,4.3,3.5,37.8,131.0,108,MVP-1CPOY-4ASNBA1,jokicni01,34.646,Center,0.164,0.309,0.65,2.977,0.277,1.3,3.2,0.227
10,Jalen Brunson,27,NYK,PG,77,77,2726,14.6,30.5,0.479,3.9,9.7,0.401,10.7,20.8,0.516,0.543,7.8,9.2,0.847,0.8,4.3,5.1,9.6,1.3,0.2,3.4,2.7,40.9,124.0,117,MVP-5CPOY-5ASNBA2,brunsja01,35.403,Guard,0.318,0.302,0.592,2.824,0.202,1.184,1.5,0.157
11,Josh Hart,28,NYK,SF,81,42,2707,5.5,12.6,0.434,1.5,4.8,0.31,4.0,7.8,0.511,0.493,1.7,2.1,0.791,2.4,10.2,12.6,6.2,1.4,0.4,2.2,3.2,14.2,115.0,113,,hartjo01,33.42,Forward,0.381,0.167,0.525,2.818,0.283,1.05,1.7999999999999998,0.19
12,Anthony Davis,30,LAL,C,76,76,2700,12.6,22.6,0.556,0.5,1.9,0.271,12.0,20.7,0.582,0.567,7.4,9.1,0.816,4.2,12.7,16.9,4.7,1.6,3.1,2.8,3.1,33.0,124.0,109,DPOY-4ASNBA2,davisan02,35.526,Center,0.084,0.403,0.62,1.679,0.138,1.24,4.7,0.249
13,Fred VanVleet,29,HOU,PG,73,73,2684,7.6,18.4,0.416,4.1,10.6,0.387,3.5,7.8,0.454,0.527,3.6,4.1,0.86,0.6,4.4,5.0,10.6,1.8,1.1,2.3,3.3,22.9,123.0,114,,vanvlfr01,36.767,Guard,0.576,0.223,0.567,4.609,0.32,1.133,2.9000000000000004,0.12
14,De'Aaron Fox,26,SAC,PG,74,74,2659,13.2,28.3,0.465,3.9,10.6,0.369,9.2,17.7,0.522,0.534,5.7,7.7,0.738,1.2,5.0,6.2,7.6,2.7,0.6,3.5,3.5,35.9,113.0,114,CPOY-12,foxde01,35.932,Guard,0.375,0.272,0.566,2.171,0.178,1.133,3.3000000000000003,0.194
15,Pascal Siakam,29,2TM,PF,80,80,2657,12.2,22.8,0.536,1.5,4.4,0.346,10.7,18.4,0.581,0.569,5.2,7.1,0.732,2.5,7.7,10.2,6.1,1.1,0.4,2.5,3.5,31.2,121.0,119,,siakapa01,33.212,Forward,0.193,0.311,0.602,2.44,0.177,1.204,1.5,0.245
16,Pascal Siakam,29,TOR,PF,39,39,1354,11.6,22.2,0.522,1.6,5.2,0.317,10.0,17.0,0.584,0.559,6.0,8.0,0.758,1.9,6.8,8.8,6.8,1.1,0.4,3.0,3.1,30.8,119.0,120,,siakapa01,34.718,Forward,0.234,0.36,0.599,2.267,0.191,1.198,1.5,0.218
17,Pascal Siakam,29,IND,PF,41,41,1303,12.9,23.5,0.549,1.4,3.7,0.386,11.5,19.8,0.58,0.579,4.4,6.3,0.699,3.1,8.5,11.5,5.5,1.1,0.5,2.1,3.8,31.6,123.0,119,,siakapa01,31.78,Forward,0.157,0.268,0.601,2.619,0.162,1.203,1.6,0.267
18,Jayson Tatum,25,BOS,PF,74,74,2645,12.6,26.6,0.471,4.3,11.4,0.376,8.3,15.3,0.542,0.552,7.7,9.3,0.833,1.3,10.0,11.2,6.8,1.4,0.8,3.5,2.7,37.1,121.0,111,MVP-6CPOY-9ASNBA1,tatumja01,35.743,Forward,0.429,0.35,0.604,1.943,0.166,1.209,2.2,0.115
19,Austin Reaves,25,LAL,SG,82,57,2629,8.3,17.0,0.486,2.8,7.6,0.367,5.5,9.4,0.583,0.568,4.2,4.9,0.853,1.0,5.3,6.4,8.1,1.2,0.5,3.1,2.8,23.5,119.0,118,,reaveau01,32.061,Guard,0.447,0.288,0.613,2.613,0.267,1.227,1.7,0.159
20,Tyrese Maxey,23,PHI,PG,70,70,2626,12.0,26.6,0.45,4.0,10.7,0.373,8.0,15.9,0.501,0.524,6.1,7.1,0.868,0.7,4.2,4.8,8.1,1.3,0.6,2.2,2.8,34.0,121.0,117,MIP-1AS,maxeyty01,37.514,Guard,0.402,0.267,0.572,3.682,0.202,1.144,1.9,0.143
21,Luka Dončić,24,DAL,PG,70,70,2624,14.7,30.2,0.487,5.2,13.6,0.382,9.5,16.6,0.573,0.573,8.7,11.1,0.786,1.1,10.8,11.8,12.5,1.8,0.7,5.2,2.7,43.3,122.0,113,MVP-3CPOY-6ASNBA1,doncilu01,37.486,Guard,0.45,0.368,0.617,2.404,0.237,1.234,2.5,0.092
