Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,MPG,Primary_Position,3PAr,FTr,TS%,AST/TOV,AST_Ratio,PPS,STL+BLK,ORB_Rate
22,Nikola Vučević,33,CHI,C,76,74,2610,11.2,23.1,0.484,1.8,6.0,0.294,9.4,17.2,0.55,0.522,2.0,2.5,0.822,4.0,11.3,15.3,4.9,1.0,1.1,2.3,3.6,26.2,114.0,115,,vucevni01,34.342,Center,0.26,0.108,0.541,2.13,0.156,1.083,2.1,0.261
23,Jalen Green,21,HOU,SG,82,82,2601,10.5,24.8,0.423,3.7,11.3,0.332,6.8,13.6,0.498,0.498,5.3,6.6,0.804,0.8,7.1,7.9,5.4,1.2,0.5,3.6,2.1,30.0,107.0,115,,greenja05,31.72,Guard,0.456,0.266,0.541,1.5,0.147,1.083,1.7,0.101
24,Rudy Gobert,31,MIN,C,76,76,2593,7.7,11.7,0.661,0.0,0.1,0.0,7.7,11.6,0.664,0.661,4.7,7.4,0.638,5.4,13.3,18.7,1.9,1.0,3.1,2.2,4.5,20.2,131.0,104,DPOY-1,goberru01,34.118,Center,0.009,0.632,0.675,0.864,0.1,1.351,4.1,0.289
25,Keegan Murray,23,SAC,SF,77,77,2588,8.3,18.3,0.454,3.4,9.6,0.358,4.9,8.7,0.56,0.548,1.9,2.3,0.831,2.0,5.9,7.9,2.4,1.5,1.1,1.2,3.8,22.0,117.0,116,,murrake02,33.61,Forward,0.525,0.126,0.57,2.0,0.105,1.139,2.6,0.253
26,Miles Bridges,25,CHO,SF,69,67,2581,10.7,23.1,0.462,3.0,8.6,0.349,7.7,14.5,0.529,0.527,3.3,4.0,0.825,1.4,8.3,9.7,4.4,1.2,0.6,2.6,2.3,27.7,108.0,120,,bridgmi02,37.406,Forward,0.372,0.173,0.557,1.692,0.138,1.114,1.7999999999999998,0.144
27,Damian Lillard,33,MIL,PG,73,73,2579,10.1,23.8,0.424,4.1,11.6,0.354,6.0,12.2,0.49,0.51,8.8,9.6,0.92,0.7,5.3,6.0,9.5,1.3,0.3,3.6,2.5,33.1,120.0,118,CPOY-11AS,lillada01,35.329,Guard,0.487,0.403,0.591,2.639,0.231,1.181,1.6,0.117
28,Giannis Antetokounmpo,29,MIL,PF,73,73,2567,15.7,25.6,0.611,0.6,2.3,0.274,15.0,23.3,0.645,0.624,9.6,14.6,0.657,3.7,12.1,15.7,8.9,1.6,1.5,4.7,3.9,41.6,126.0,112,MVP-4DPOY-9CPOY-12ASNBA1,antetgi01,35.164,Forward,0.09,0.57,0.65,1.894,0.195,1.299,3.1,0.234
29,Michael Porter Jr.,25,DEN,SF,81,81,2565,10.1,20.9,0.484,4.3,10.7,0.397,5.8,10.1,0.575,0.586,1.8,2.1,0.836,2.0,8.9,10.9,2.4,0.8,1.0,1.8,2.9,26.2,117.0,114,,portemi01,31.667,Forward,0.512,0.1,0.6,1.333,0.092,1.201,1.8,0.183
30,Shai Gilgeous-Alexander,25,OKC,PG,75,75,2553,15.0,28.0,0.535,1.8,5.1,0.353,13.2,22.9,0.576,0.567,10.7,12.2,0.874,1.2,6.6,7.8,8.8,2.8,1.3,3.1,3.5,42.4,129.0,110,MVP-2DPOY-7CPOY-3ASNBA1,gilgesh01,34.04,Guard,0.182,0.436,0.635,2.839,0.194,1.271,4.1,0.154
31,Grayson Allen,28,PHO,SG,75,74,2513,6.6,13.3,0.499,4.0,8.6,0.461,2.6,4.6,0.57,0.649,2.5,2.9,0.878,0.9,4.8,5.7,4.4,1.3,0.9,1.8,3.1,19.7,130.0,117,,allengr01,33.507,Guard,0.647,0.218,0.676,2.444,0.212,1.352,2.2,0.158
32,LeBron James,39,LAL,PF,71,71,2504,13.0,24.1,0.54,2.8,6.9,0.41,10.2,17.2,0.592,0.599,5.8,7.7,0.75,1.2,8.7,9.8,11.2,1.7,0.7,4.7,1.5,34.6,120.0,114,CPOY-10ASNBA3,jamesle01,35.268,Forward,0.286,0.32,0.629,2.383,0.258,1.259,2.4,0.121
33,Paul George,33,LAC,PF,74,74,2502,11.5,24.4,0.471,4.8,11.6,0.413,6.7,12.8,0.523,0.569,5.2,5.7,0.907,0.7,6.9,7.7,5.2,2.2,0.7,3.0,4.0,33.0,119.0,114,AS,georgpa01,33.811,Forward,0.475,0.234,0.613,1.733,0.148,1.226,2.9000000000000004,0.092
34,Dennis Schröder,30,2TM,PG,80,58,2486,7.9,18.2,0.435,2.7,7.2,0.375,5.2,11.0,0.474,0.509,3.5,4.2,0.836,0.8,4.0,4.7,9.6,1.2,0.3,3.0,3.2,22.0,114.0,121,,schrode01,31.075,Guard,0.396,0.231,0.549,3.2,0.294,1.097,1.5,0.167
35,Dennis Schröder,30,TOR,PG,51,33,1559,7.7,17.3,0.442,2.4,6.8,0.35,5.3,10.5,0.501,0.511,3.9,4.6,0.852,0.7,3.7,4.3,9.7,1.4,0.2,2.6,3.3,21.6,117.0,122,,schrode01,30.569,Guard,0.393,0.266,0.559,3.731,0.307,1.118,1.5999999999999999,0.159
36,Dennis Schröder,30,BRK,PG,29,25,927,8.3,19.7,0.424,3.3,7.9,0.412,5.1,11.8,0.432,0.507,2.7,3.4,0.797,0.9,4.5,5.4,9.3,0.9,0.5,3.7,3.2,22.7,109.0,120,,schrode01,31.966,Guard,0.401,0.173,0.535,2.514,0.272,1.071,1.4,0.167
37,D'Angelo Russell,27,LAL,PG,76,69,2484,9.4,20.7,0.456,4.3,10.4,0.415,5.1,10.2,0.497,0.56,3.0,3.7,0.828,0.5,4.0,4.5,9.2,1.3,0.7,3.0,3.0,26.2,116.0,118,,russeda01,32.684,Guard,0.502,0.179,0.587,3.067,0.266,1.173,2.0,0.111
38,James Harden,34,LAC,PG,72,72,2470,7.0,16.4,0.428,3.7,9.8,0.381,3.3,6.7,0.497,0.541,6.0,6.9,0.878,0.7,6.7,7.4,12.3,1.5,1.1,3.7,2.5,23.8,125.0,116,,hardeja01,34.306,Guard,0.598,0.421,0.612,3.324,0.347,1.225,2.6,0.095
39,Devin Booker,27,PHO,PG,68,68,2447,12.8,26.0,0.492,3.0,8.3,0.364,9.8,17.7,0.552,0.55,8.1,9.1,0.886,1.1,5.0,6.1,9.4,1.2,0.6,3.6,4.1,36.7,124.0,117,ASNBA3,bookede01,35.985,Guard,0.319,0.35,0.612,2.611,0.219,1.223,1.7999999999999998,0.18
40,Jarrett Allen,25,CLE,C,77,77,2442,10.5,16.6,0.634,0.0,0.1,0.0,10.5,16.4,0.638,0.634,4.7,6.4,0.742,4.9,11.5,16.4,4.2,1.1,1.6,2.4,3.0,25.7,131.0,110,DPOY-10,allenja01,31.714,Center,0.006,0.386,0.662,1.75,0.161,1.324,2.7,0.299
41,Jabari Smith Jr.,20,HOU,PF,76,76,2424,7.6,16.7,0.454,2.8,7.6,0.363,4.8,9.1,0.53,0.537,3.0,3.7,0.811,2.8,9.5,12.3,2.4,1.0,1.2,1.8,4.0,20.9,116.0,113,,smithja05,31.895,Forward,0.455,0.222,0.57,1.333,0.107,1.14,2.2,0.228
42,Stephen Curry,35,GSW,PG,74,74,2421,13.0,28.9,0.45,7.1,17.5,0.408,5.9,11.4,0.515,0.573,6.0,6.5,0.923,0.7,5.9,6.6,7.6,1.1,0.6,4.2,2.3,39.1,119.0,117,CPOY-1ASNBA3,curryst01,32.716,Guard,0.606,0.225,0.616,1.81,0.174,1.231,1.7000000000000002,0.106
43,Bam Adebayo,26,MIA,C,71,71,2416,10.9,21.0,0.521,0.3,0.9,0.357,10.6,20.1,0.528,0.529,6.0,8.0,0.755,3.3,11.9,15.2,5.7,1.7,1.4,3.3,3.3,28.2,115.0,109,DPOY-3AS,adebaba01,34.028,Center,0.043,0.381,0.575,1.727,0.17,1.15,3.0999999999999996,0.217
44,Chet Holmgren,21,OKC,C,82,82,2413,10.1,19.0,0.53,2.6,7.0,0.37,7.5,12.0,0.623,0.598,4.3,5.5,0.793,2.6,10.3,12.9,4.0,1.1,3.8,2.6,3.9,27.0,122.0,108,ROY-2,holmgch01,29.427,Center,0.368,0.289,0.63,1.538,0.143,1.261,4.9,0.202
45,Brook Lopez,35,MIL,C,79,79,2411,7.3,15.0,0.485,2.9,8.1,0.366,4.3,7.0,0.621,0.583,2.2,2.7,0.821,2.3,5.8,8.2,2.5,0.9,3.8,1.6,3.8,19.7,121.0,114,,lopezbr01,30.519,Center,0.54,0.18,0.608,1.562,0.123,1.217,4.7,0.284
46,Kentavious Caldwell-Pope,30,DEN,SG,76,76,2402,5.6,12.1,0.46,2.6,6.4,0.406,3.0,5.8,0.52,0.566,2.1,2.3,0.894,0.6,3.1,3.8,3.8,2.0,0.9,1.5,3.1,15.8,119.0,115,,caldwke01,31.605,Guard,0.529,0.19,0.603,2.533,0.206,1.205,2.9,0.162
47,Bogdan Bogdanović,31,ATL,SG,79,33,2401,9.4,22.0,0.428,4.8,12.8,0.374,4.6,9.2,0.503,0.537,3.0,3.3,0.921,1.1,4.4,5.4,4.9,1.9,0.5,2.2,3.6,26.6,116.0,120,6MOY-5,bogdabo01,30.392,Guard,0.582,0.15,0.567,2.227,0.16,1.134,2.4,0.2
48,Brandon Miller,21,CHO,SF,74,68,2383,9.9,22.4,0.44,3.8,10.2,0.373,6.0,12.2,0.495,0.524,3.0,3.6,0.827,1.2,5.3,6.5,3.6,1.4,0.9,2.7,3.8,26.5,105.0,121,ROY-3,millebr02,32.203,Forward,0.455,0.161,0.552,1.333,0.119,1.105,2.3,0.185
49,Harrison Barnes,31,SAC,PF,82,82,2381,7.1,14.9,0.474,3.0,7.9,0.387,4.0,7.1,0.571,0.576,3.2,4.0,0.801,1.4,3.7,5.1,2.0,1.1,0.2,1.2,2.0,20.4,122.0,119,,barneha02,29.037,Forward,0.53,0.268,0.612,1.667,0.101,1.224,1.3,0.275
50,Derrick White,29,BOS,SG,73,73,2381,8.0,17.4,0.461,4.1,10.3,0.396,4.0,7.1,0.555,0.578,2.8,3.2,0.901,1.1,5.4,6.4,7.8,1.5,1.8,2.3,3.2,23.0,126.0,112,DPOY-8,whitede01,32.616,Guard,0.592,0.184,0.611,3.391,0.27,1.223,3.3,0.169
51,Tobias Harris,31,PHI,PF,70,70,2368,9.6,19.8,0.487,1.9,5.4,0.353,7.7,14.4,0.537,0.535,3.9,4.4,0.878,1.7,7.8,9.4,4.5,1.5,1.0,1.9,2.4,25.0,118.0,114,,harrito02,33.829,Forward,0.273,0.222,0.575,2.368,0.16,1.15,2.5,0.179
52,Donte DiVincenzo,27,NYK,SG,81,63,2360,9.5,21.5,0.443,6.0,15.1,0.401,3.5,6.4,0.542,0.584,1.8,2.4,0.754,1.3,5.0,6.3,4.6,2.3,0.8,2.4,3.5,26.9,120.0,113,,divindo01,29.136,Guard,0.702,0.112,0.596,1.917,0.156,1.193,3.0999999999999996,0.206
53,Jordan Poole,24,WAS,SG,78,66,2346,9.8,23.6,0.413,3.7,11.2,0.326,6.1,12.4,0.492,0.491,3.8,4.4,0.877,0.6,3.6,4.2,6.8,1.7,0.5,3.7,4.9,27.0,102.0,121,,poolejo01,30.077,Guard,0.475,0.186,0.529,1.838,0.189,1.057,2.2,0.143
54,Jaylen Brown,27,BOS,SF,70,70,2343,13.2,26.5,0.499,3.1,8.6,0.354,10.2,17.8,0.57,0.557,4.4,6.3,0.703,1.8,6.4,8.2,5.3,1.8,0.8,3.5,3.9,34.0,113.0,112,AS,brownja02,33.471,Forward,0.325,0.238,0.581,1.514,0.139,1.162,2.6,0.22
55,Malik Beasley,27,MIL,SG,79,77,2337,6.6,14.8,0.443,4.6,11.1,0.413,2.0,3.7,0.533,0.598,0.5,0.7,0.714,0.8,5.1,6.0,2.2,1.2,0.2,1.1,3.2,18.3,117.0,118,,beaslma01,29.582,Guard,0.75,0.047,0.606,2.0,0.12,1.211,1.4,0.136
56,Franz Wagner,22,ORL,SF,72,72,2337,11.2,23.2,0.482,2.0,7.1,0.281,9.2,16.1,0.57,0.525,5.7,6.8,0.85,1.5,6.5,8.1,5.7,1.6,0.6,2.9,3.6,30.1,116.0,112,,wagnefr01,32.458,Forward,0.306,0.293,0.575,1.966,0.164,1.149,2.2,0.188
57,Kawhi Leonard,32,LAC,SF,68,68,2330,12.9,24.6,0.525,3.0,7.1,0.417,10.0,17.5,0.569,0.585,5.4,6.1,0.885,1.8,7.0,8.8,5.2,2.4,1.3,2.5,2.1,34.2,124.0,114,ASNBA2,leonaka01,34.265,Forward,0.289,0.248,0.627,2.08,0.149,1.253,3.7,0.205
58,Herbert Jones,25,NOP,SF,76,76,2321,6.2,12.4,0.498,2.4,5.8,0.418,3.8,6.7,0.568,0.595,2.9,3.3,0.867,1.6,4.2,5.7,4.2,2.2,1.3,2.0,4.7,17.7,124.0,113,DPOY-5,joneshe01,30.539,Forward,0.468,0.266,0.639,2.1,0.209,1.278,3.5,0.276
59,Aaron Gordon,28,DEN,PF,73,73,2297,8.6,15.5,0.556,0.9,3.0,0.29,7.7,12.5,0.619,0.584,3.8,5.8,0.658,3.8,6.4,10.2,5.6,1.2,1.0,2.3,3.1,21.9,125.0,114,,gordoaa01,31.466,Forward,0.194,0.374,0.607,2.435,0.216,1.213,2.2,0.373
60,Klay Thompson,33,GSW,SF,77,63,2284,10.4,24.0,0.432,5.7,14.7,0.387,4.7,9.3,0.503,0.551,2.7,2.9,0.927,0.7,4.6,5.4,3.7,1.1,0.7,2.5,2.7,29.1,113.0,118,,thompkl01,29.662,Forward,0.612,0.121,0.576,1.48,0.118,1.151,1.8,0.132
61,Kyle Kuzma,28,WAS,PF,70,70,2281,12.5,26.9,0.463,3.1,9.2,0.336,9.4,17.7,0.53,0.521,3.8,4.9,0.775,1.3,8.2,9.5,6.1,0.8,1.0,3.9,3.1,31.8,103.0,120,,kuzmaky01,32.586,Forward,0.342,0.182,0.547,1.564,0.156,1.094,1.8,0.137
62,Jrue Holiday,33,BOS,PG,69,69,2263,7.2,15.0,0.48,3.0,7.0,0.429,4.2,8.0,0.526,0.581,1.3,1.6,0.833,1.8,6.3,8.1,7.3,1.3,1.2,2.7,2.4,18.8,121.0,113,DPOY-6,holidjr01,32.797,Guard,0.467,0.107,0.599,2.704,0.284,1.197,2.5,0.222
63,Deni Avdija,23,WAS,SF,75,75,2257,8.4,16.6,0.506,1.8,4.9,0.374,6.6,11.8,0.56,0.56,4.2,5.7,0.74,1.7,9.4,11.2,5.9,1.2,0.7,3.3,3.8,22.8,112.0,119,,avdijde01,30.093,Forward,0.295,0.343,0.597,1.788,0.208,1.193,1.9,0.153
64,Devin Vassell,23,SAS,SG,68,62,2248,10.5,22.3,0.472,3.5,9.4,0.372,7.0,12.9,0.544,0.55,3.4,4.2,0.801,0.6,4.9,5.5,5.8,1.5,0.5,2.3,1.6,27.9,113.0,118,,vassede01,33.059,Guard,0.422,0.188,0.578,2.522,0.18,1.155,2.0,0.109
65,Luguentz Dort,24,OKC,SF,79,79,2246,6.2,14.1,0.438,3.3,8.5,0.394,2.8,5.6,0.506,0.557,2.7,3.3,0.826,1.6,4.5,6.1,2.4,1.5,1.0,1.6,4.9,18.4,117.0,114,,dortlu01,28.43,Forward,0.603,0.234,0.592,1.5,0.123,1.183,2.5,0.262
66,Max Strus,27,CLE,SF,70,70,2239,6.7,16.1,0.418,3.7,10.6,0.351,3.0,5.5,0.546,0.533,1.7,2.1,0.794,1.5,6.0,7.5,6.2,1.4,0.6,2.5,3.8,18.8,112.0,114,,strusma01,31.986,Forward,0.658,0.13,0.552,2.48,0.241,1.104,2.0,0.2
67,Dillon Brooks,28,HOU,SF,72,72,2227,7.2,16.7,0.428,2.9,8.1,0.359,4.3,8.7,0.492,0.515,2.7,3.2,0.844,1.2,4.2,5.4,2.6,1.4,0.2,1.9,5.2,19.9,109.0,116,,brookdi01,30.931,Forward,0.485,0.192,0.549,1.368,0.115,1.099,1.5999999999999999,0.222
68,Tyrese Haliburton,23,IND,PG,69,68,2224,10.6,22.2,0.477,4.1,11.3,0.364,6.5,10.9,0.595,0.57,4.1,4.8,0.855,0.7,5.0,5.7,16.0,1.8,1.0,3.4,1.6,29.5,129.0,119,ASNBA3,halibty01,32.232,Guard,0.509,0.216,0.607,4.706,0.366,1.213,2.8,0.123
69,Jalen Williams,22,OKC,PF,71,71,2223,11.6,21.5,0.54,2.2,5.2,0.427,9.4,16.3,0.576,0.592,3.9,4.8,0.814,0.8,5.3,6.1,7.0,1.7,1.0,2.7,3.8,29.3,122.0,114,CPOY-12,willija06,31.31,Forward,0.242,0.223,0.62,2.593,0.21,1.241,2.7,0.131
70,P.J. Washington,25,2TM,PF,73,45,2221,7.8,17.8,0.436,2.9,9.1,0.32,4.9,8.7,0.558,0.518,2.2,3.2,0.683,1.9,7.2,9.0,3.1,1.6,1.3,2.1,3.7,20.6,106.0,117,,washipj01,30.425,Forward,0.511,0.18,0.536,1.476,0.127,1.072,2.9000000000000004,0.209
71,P.J. Washington,25,CHO,PF,44,17,1286,8.7,19.5,0.446,3.0,9.4,0.324,5.7,10.2,0.558,0.524,2.6,3.6,0.713,2.0,6.9,8.9,3.7,1.5,1.2,2.5,4.3,23.0,106.0,119,,washipj01,29.227,Forward,0.482,0.185,0.545,1.48,0.136,1.091,2.7,0.225
72,P.J. Washington,25,DAL,PF,29,28,935,6.5,15.5,0.421,2.7,8.7,0.314,3.8,6.8,0.556,0.508,1.6,2.6,0.627,1.6,7.5,9.2,2.3,1.7,1.4,1.5,2.9,17.4,106.0,114,,washipj01,32.241,Forward,0.561,0.168,0.523,1.533,0.113,1.045,3.0999999999999996,0.176
73,Jaden Ivey,21,DET,SG,77,61,2217,9.0,21.1,0.429,2.7,8.0,0.336,6.4,13.1,0.485,0.492,4.9,6.6,0.749,1.9,3.9,5.7,6.4,1.2,0.9,4.1,4.4,25.7,104.0,121,,iveyja01,28.792,Guard,0.379,0.313,0.535,1.561,0.185,1.071,2.1,0.328
74,Ayo Dosunmu,24,CHI,SG,76,37,2212,8.1,16.2,0.501,2.7,6.6,0.403,5.4,9.6,0.568,0.583,1.9,2.4,0.81,1.2,3.7,4.9,5.5,1.5,0.8,2.3,3.7,20.8,118.0,119,,dosunay01,29.105,Guard,0.407,0.148,0.603,2.391,0.22,1.205,2.3,0.245
75,Zion Williamson,23,NOP,PF,70,70,2207,13.9,24.3,0.57,0.1,0.4,0.333,13.7,23.9,0.574,0.573,7.7,11.0,0.702,2.7,6.3,9.0,7.8,1.7,1.0,4.3,3.5,35.6,119.0,113,,willizi01,31.529,Forward,0.016,0.453,0.611,1.814,0.189,1.222,2.7,0.3
76,Mike Conley,36,MIN,PG,76,76,2193,6.6,14.5,0.457,4.0,9.1,0.442,2.6,5.4,0.481,0.595,2.3,2.5,0.911,0.8,4.1,4.9,10.1,2.0,0.4,2.3,2.9,19.6,129.0,111,,conlemi01,28.855,Guard,0.628,0.172,0.628,4.391,0.361,1.256,2.4,0.163
77,Jeremy Sochan,20,SAS,PF,74,73,2193,7.4,16.8,0.438,1.5,4.9,0.308,5.8,11.9,0.492,0.483,2.4,3.1,0.771,3.0,7.3,10.3,5.4,1.3,0.9,3.0,3.6,18.6,104.0,117,,sochaje01,29.635,Forward,0.292,0.185,0.512,1.8,0.203,1.024,2.2,0.291
78,Buddy Hield,31,2TM,SF,84,42,2160,8.2,18.9,0.436,4.9,12.6,0.386,3.4,6.3,0.539,0.565,1.2,1.3,0.881,1.4,4.6,6.0,5.2,1.6,0.9,2.3,3.8,22.5,114.0,118,,hieldbu01,25.714,Forward,0.667,0.069,0.578,2.261,0.193,1.156,2.5,0.233
79,Buddy Hield,31,IND,SF,52,28,1336,8.1,18.3,0.443,4.8,12.6,0.384,3.2,5.6,0.575,0.575,1.0,1.2,0.848,1.2,4.7,5.9,4.9,1.5,1.1,2.2,3.6,22.0,115.0,119,,hieldbu01,25.692,Forward,0.689,0.066,0.584,2.227,0.189,1.168,2.6,0.203
