Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
445,Craig Porter Jr.,24,CLE,PG,35,0,326,6.8,11.8,0.575,2.1,4.1,0.5,4.7,7.6,0.615,0.663,1.5,1.9,0.769,1.5,4.6,6,6.8,1.8,1.5,3.1,2.4,17,125,112,,portecr01
446,Dillon Jones,23,OKC,SF,36,0,324,4.3,12.9,0.333,1.5,7.1,0.208,2.8,5.8,0.487,0.391,1.6,3,0.55,3.4,7.4,10.9,5.5,1,0.4,2.1,5.4,11.8,101,108,,jonesdi01
447,Tre Mann,23,CHO,PG,13,0,319,10.8,24.8,0.435,3.7,9.2,0.4,7.1,15.6,0.455,0.509,2.9,3.2,0.905,1.8,4,5.9,6,1.1,0.6,3.9,3.7,28.2,106,118,,manntr01
448,Zeke Nnaji,24,DEN,PF,36,2,311,6,12.2,0.494,0.9,4.3,0.214,5.1,7.9,0.647,0.532,1.4,2.3,0.6,2.2,5.9,8,1.4,1.7,2.3,0.9,4.8,14.3,114,114,,nnajize01
449,Hunter Tyson,24,DEN,PF,40,0,306,4.2,11.6,0.365,2.4,7.7,0.306,1.9,3.9,0.48,0.466,2.5,3.6,0.696,2.2,7.2,9.4,2.2,0.8,0.8,2,5.6,13.3,104,117,,tysonhu01
450,Kessler Edwards,24,DAL,SF,27,7,305,3.7,8.7,0.418,1.1,4,0.28,2.5,4.8,0.533,0.482,0.5,0.5,1,1.7,7.5,9.2,3.8,1.6,1.7,1.3,4.9,8.9,112,113,,edwarke02
451,Rayan Rupert,20,POR,SG,38,0,301,5.2,12.9,0.4,1.6,5.8,0.278,3.6,7.1,0.5,0.463,2.4,3.2,0.75,3.4,4,7.4,2.9,1.3,0.3,2.9,3.6,14.4,102,119,,ruperra01
452,Paul Reed,25,DET,C,31,0,299,8.4,15.8,0.531,1,3.4,0.286,7.4,12.4,0.597,0.561,3.9,4.7,0.828,4.5,8.4,12.9,4.8,5,2.9,2.4,8.1,21.7,125,102,,reedpa01
453,Jock Landale,29,HOU,C,28,0,299,7.2,15,0.478,1,2.1,0.462,6.2,12.9,0.481,0.511,3.6,5.2,0.688,6.2,8.6,14.8,4.1,1,1.5,2.1,4.4,18.9,122,110,,landajo01
454,Alex Len,31,2TM,C,39,3,293,4,7.6,0.522,0.2,1,0.167,3.8,6.6,0.575,0.533,1.2,2.1,0.538,4.5,7.6,12.1,5.3,1.3,3.1,1.8,6.4,9.2,123,113,,lenal01
