Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,MPG,Primary_Position,3PAr,FTr,TS%,AST/TOV,AST_Ratio,PPS,STL+BLK,ORB_Rate
1,Mikal Bridges,28,NYK,SF,56,56,2134,9.4,19.1,0.489,2.9,8.2,0.358,6.4,10.9,0.588,0.566,1.1,1.4,0.742,1.2,3.0,4.2,4.3,1.2,0.7,2.0,1.9,22.7,115.0,119,,bridgmi01,38.107,Forward,0.429,0.073,0.576,2.15,0.165,1.151,1.9,0.286
2,Anthony Edwards,23,MIN,SG,55,55,2022,12.4,28.2,0.439,5.6,13.7,0.411,6.7,14.5,0.465,0.538,6.7,8.0,0.838,1.0,6.7,7.8,6.0,1.6,0.9,4.6,2.5,37.1,112.0,111,,edwaran01,36.764,Guard,0.486,0.284,0.585,1.304,0.142,1.17,2.5,0.13
3,Josh Hart,29,NYK,SG,53,53,2003,7.4,13.3,0.556,1.5,4.3,0.337,5.9,9.0,0.66,0.61,3.0,3.7,0.812,2.9,9.7,12.6,7.5,2.0,0.5,2.6,3.5,19.2,131.0,113,,hartjo01,37.792,Guard,0.323,0.278,0.643,2.885,0.3,1.286,2.5,0.23
4,Jalen Brunson,28,NYK,PG,55,55,1931,12.7,25.8,0.491,3.2,8.2,0.394,9.4,17.6,0.536,0.553,8.0,9.8,0.82,0.6,3.4,4.0,10.5,1.3,0.1,3.4,3.1,36.6,125.0,119,,brunsja01,35.109,Guard,0.318,0.38,0.608,3.088,0.239,1.215,1.4000000000000001,0.15
5,Jayson Tatum,26,BOS,PF,53,53,1926,12.3,27.2,0.454,4.9,13.8,0.357,7.4,13.4,0.553,0.544,6.9,8.7,0.796,0.8,11.1,11.9,7.7,1.6,0.7,3.8,2.9,36.5,117.0,109,,tatumja01,36.34,Forward,0.507,0.32,0.588,2.026,0.181,1.176,2.3,0.067
6,Domantas Sabonis,28,SAC,C,53,53,1911,10.7,17.8,0.6,1.4,3.2,0.452,9.2,14.6,0.633,0.641,4.4,5.8,0.749,5.5,14.0,19.5,8.4,0.8,0.5,4.0,4.7,27.1,129.0,114,,sabondo01,36.057,Center,0.18,0.326,0.666,2.1,0.256,1.332,1.3,0.282
7,De'Aaron Fox,27,2TM,PG,52,52,1909,12.0,25.3,0.473,2.6,8.1,0.324,9.3,17.2,0.543,0.525,5.9,7.2,0.822,1.2,5.3,6.5,8.3,2.0,0.6,3.7,3.6,32.5,114.0,116,,foxde01,36.712,Guard,0.32,0.285,0.571,2.243,0.205,1.142,2.6,0.185
8,De'Aaron Fox,27,SAC,PG,45,45,1663,12.0,25.6,0.469,2.7,8.3,0.322,9.4,17.3,0.539,0.521,5.9,7.1,0.829,1.3,5.2,6.5,8.0,1.9,0.6,3.9,3.4,32.6,113.0,116,,foxde01,36.956,Guard,0.324,0.277,0.567,2.051,0.197,1.135,2.5,0.2
9,De'Aaron Fox,27,SAS,PG,7,7,246,11.6,23.0,0.504,2.4,6.9,0.343,9.2,16.1,0.573,0.556,6.1,7.9,0.775,0.6,5.5,6.1,10.0,2.9,0.4,2.9,4.7,31.7,122.0,114,,foxde01,35.143,Guard,0.3,0.343,0.599,3.448,0.254,1.197,3.3,0.098
10,Jalen Green,22,HOU,SG,57,57,1902,11.1,26.0,0.427,4.3,12.0,0.356,6.8,14.0,0.487,0.509,5.0,6.0,0.829,0.8,5.4,6.3,4.6,1.2,0.5,3.7,2.4,31.4,110.0,113,,greenja05,33.368,Guard,0.462,0.231,0.548,1.243,0.125,1.096,1.7,0.129
11,Trae Young,26,ATL,PG,52,52,1884,9.5,23.3,0.408,3.8,11.3,0.336,5.7,12.0,0.477,0.49,7.9,9.2,0.856,0.6,3.4,4.0,14.6,1.6,0.2,6.2,2.6,30.8,112.0,118,,youngtr01,36.231,Guard,0.485,0.395,0.563,2.355,0.303,1.126,1.8,0.15
12,Devin Booker,28,PHO,SG,50,50,1863,11.2,24.9,0.452,3.5,10.1,0.342,7.8,14.8,0.527,0.521,8.5,9.5,0.894,1.3,4.0,5.3,8.9,1.4,0.3,3.6,3.3,34.4,119.0,120,,bookede01,37.26,Guard,0.406,0.382,0.591,2.472,0.214,1.183,1.7,0.245
13,Tyler Herro,25,MIA,SG,52,52,1854,11.6,24.9,0.467,5.2,13.6,0.381,6.4,11.3,0.569,0.571,5.0,5.8,0.857,0.5,7.2,7.7,7.7,1.1,0.2,3.8,1.9,33.4,116.0,115,,herroty01,35.654,Guard,0.546,0.233,0.608,2.026,0.198,1.217,1.3,0.065
14,Keegan Murray,24,SAC,PF,53,53,1853,6.4,14.8,0.436,2.5,7.7,0.327,3.9,7.0,0.558,0.522,1.2,1.5,0.821,2.9,6.8,9.7,2.0,1.1,1.2,1.3,3.6,16.6,114.0,116,,murrake02,34.962,Forward,0.52,0.101,0.537,1.538,0.107,1.074,2.3,0.299
15,Christian Braun,23,DEN,SG,56,54,1847,8.4,14.6,0.574,1.4,3.8,0.367,7.0,10.8,0.647,0.622,3.4,4.1,0.823,1.9,5.4,7.3,3.2,1.6,0.8,1.4,3.2,21.5,132.0,116,,braunch01,32.982,Guard,0.26,0.281,0.655,2.286,0.152,1.311,2.4000000000000004,0.26
