Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,MPG,Primary_Position,3PAr,FTr,TS%,AST/TOV,AST_Ratio,PPS,STL+BLK,ORB_Rate
16,Kelly Oubre Jr.,29,PHI,SF,53,50,1843,8.0,17.4,0.463,1.6,5.8,0.28,6.4,11.6,0.555,0.51,3.1,4.0,0.76,2.3,6.8,9.1,2.6,2.2,0.7,1.9,4.2,20.8,110.0,115,,oubreke01,34.774,Forward,0.333,0.23,0.543,1.368,0.11,1.086,2.9000000000000004,0.253
17,Shai Gilgeous-Alexander,26,OKC,PG,54,54,1836,15.8,30.3,0.522,2.9,8.1,0.357,12.9,22.3,0.581,0.569,11.2,12.4,0.899,1.3,5.9,7.2,8.7,2.7,1.5,3.6,3.2,45.7,128.0,105,,gilgesh01,34.0,Guard,0.267,0.409,0.639,2.417,0.181,1.278,4.2,0.181
18,Nikola Jokić,29,DEN,C,51,51,1834,14.9,25.9,0.574,2.7,6.1,0.447,12.1,19.8,0.613,0.627,6.7,8.2,0.821,4.1,12.9,16.9,13.6,2.4,0.9,4.2,2.9,39.2,135.0,110,,jokicni01,35.961,Center,0.236,0.317,0.664,3.238,0.287,1.328,3.3,0.241
19,DeMar DeRozan,35,SAC,SF,51,51,1833,10.9,22.3,0.491,1.4,4.0,0.351,9.5,18.3,0.522,0.522,6.5,7.5,0.869,0.7,4.5,5.2,5.1,1.3,0.6,1.8,2.6,29.7,121.0,118,,derozde01,35.941,Forward,0.179,0.336,0.58,2.833,0.157,1.16,1.9,0.135
20,Rudy Gobert,32,MIN,C,55,55,1831,6.3,9.7,0.653,0.0,0.0,,6.3,9.7,0.653,0.653,3.6,5.3,0.68,5.2,10.2,15.4,2.7,1.0,2.3,2.0,3.6,16.3,134.0,109,,goberru01,33.291,Center,0.0,0.546,0.677,1.35,0.161,1.355,3.3,0.338
21,Tyrese Maxey,24,PHI,PG,48,48,1825,12.5,27.8,0.448,4.3,12.5,0.348,8.1,15.4,0.529,0.526,6.6,7.5,0.876,0.4,4.2,4.6,8.0,2.4,0.5,3.2,3.0,35.9,116.0,117,,maxeyty01,38.021,Guard,0.45,0.27,0.577,2.5,0.189,1.154,2.9,0.087
22,Jaden McDaniels,24,MIN,PF,57,57,1822,7.0,15.0,0.468,2.0,6.0,0.332,5.1,9.1,0.558,0.534,1.9,2.4,0.805,2.3,6.3,8.6,2.8,2.2,1.4,1.8,4.6,18.0,114.0,110,,mcdanja02,31.965,Forward,0.4,0.16,0.561,1.556,0.136,1.121,3.6,0.267
23,Cade Cunningham,23,DET,PG,51,51,1807,13.0,28.3,0.458,3.0,8.6,0.352,9.9,19.7,0.504,0.511,5.7,6.7,0.849,1.2,7.3,8.5,12.9,1.3,1.0,6.0,3.6,34.7,111.0,113,,cunnica01,35.431,Guard,0.304,0.237,0.555,2.15,0.257,1.11,2.3,0.141
24,OG Anunoby,27,NYK,PF,50,50,1804,8.3,17.3,0.48,2.8,7.8,0.365,5.5,9.5,0.575,0.562,2.6,3.3,0.792,1.7,4.6,6.3,2.7,1.9,1.2,1.8,3.1,22.1,117.0,116,,anunoog01,36.08,Forward,0.451,0.191,0.589,1.5,0.116,1.179,3.0999999999999996,0.27
25,Tyrese Haliburton,24,IND,PG,53,53,1801,8.8,19.6,0.451,4.1,11.2,0.368,4.7,8.4,0.56,0.556,3.5,4.2,0.846,0.9,4.2,5.1,12.0,1.8,0.9,2.5,1.9,25.3,125.0,117,,halibty01,33.981,Guard,0.571,0.214,0.59,4.8,0.334,1.18,2.7,0.176
26,Nikola Vučević,34,CHI,C,56,56,1799,11.3,21.2,0.533,2.6,6.6,0.387,8.8,14.6,0.599,0.593,2.5,3.1,0.817,3.4,11.5,14.9,4.9,1.3,1.0,2.5,3.5,27.7,121.0,114,,vucevni01,32.125,Center,0.311,0.146,0.614,1.96,0.164,1.228,2.3,0.228
27,Jamal Murray,27,DEN,PG,50,50,1799,10.6,22.2,0.475,3.1,7.9,0.392,7.5,14.3,0.52,0.544,4.1,4.7,0.87,0.8,4.3,5.1,8.1,1.9,0.7,2.9,2.6,28.3,118.0,116,,murraja01,35.98,Guard,0.356,0.212,0.583,2.793,0.23,1.166,2.5999999999999996,0.157
28,Michael Porter Jr.,26,DEN,SF,54,54,1790,10.2,19.8,0.515,3.8,9.1,0.412,6.4,10.7,0.603,0.61,2.8,3.8,0.75,2.6,7.0,9.6,3.1,0.9,0.7,2.0,2.7,26.9,124.0,117,,portemi01,33.148,Forward,0.46,0.192,0.626,1.55,0.117,1.253,1.6,0.271
29,Pascal Siakam,30,IND,PF,54,54,1789,11.5,21.8,0.526,2.5,6.1,0.407,9.0,15.8,0.572,0.583,4.5,5.8,0.773,2.5,8.0,10.5,4.9,1.4,0.7,1.8,3.8,29.9,124.0,116,,siakapa01,33.13,Forward,0.28,0.266,0.614,2.722,0.158,1.228,2.0999999999999996,0.238
30,James Harden,35,LAC,PG,52,52,1788,9.0,22.8,0.394,4.0,11.7,0.339,5.0,11.1,0.452,0.481,8.7,9.8,0.886,0.9,7.3,8.2,12.2,2.1,0.9,6.4,3.0,30.6,110.0,109,,hardeja01,34.385,Guard,0.513,0.43,0.564,1.906,0.267,1.129,3.0,0.11
31,Karl-Anthony Towns,29,NYK,C,51,51,1782,12.7,23.8,0.534,2.9,6.8,0.427,9.8,17.0,0.577,0.595,6.7,8.1,0.836,4.3,14.6,18.9,4.6,1.5,1.1,3.7,4.9,35.0,125.0,110,,townska01,34.941,Center,0.286,0.34,0.64,1.243,0.129,1.279,2.6,0.228
32,Toumani Camara,24,POR,PF,55,55,1779,5.9,12.8,0.458,2.3,6.2,0.372,3.6,6.6,0.539,0.548,1.7,2.3,0.759,3.4,5.6,9.0,3.1,2.2,1.0,2.2,4.5,15.7,115.0,115,,camarto01,32.345,Forward,0.484,0.18,0.568,1.409,0.162,1.137,3.2,0.378
33,Derrick White,30,BOS,SG,53,53,1776,8.1,18.4,0.442,4.9,13.0,0.378,3.2,5.4,0.593,0.575,2.7,3.2,0.842,1.3,5.1,6.4,6.3,1.2,1.6,2.4,2.7,23.8,122.0,112,,whitede01,33.509,Guard,0.707,0.174,0.601,2.625,0.221,1.202,2.8,0.203
34,Bam Adebayo,27,MIA,C,52,52,1771,9.5,20.0,0.474,1.1,3.8,0.296,8.4,16.2,0.516,0.502,4.4,6.0,0.734,3.8,11.0,14.8,6.5,1.8,1.1,3.2,3.2,24.5,112.0,110,,adebaba01,34.058,Center,0.19,0.3,0.541,2.031,0.201,1.082,2.9000000000000004,0.257
35,LeBron James,40,LAL,SF,51,51,1764,13.4,25.9,0.518,3.2,8.2,0.395,10.2,17.7,0.574,0.58,4.9,6.4,0.769,1.2,9.7,11.0,12.5,1.3,0.8,5.5,2.0,34.9,116.0,113,,jamesle01,34.588,Forward,0.317,0.247,0.608,2.273,0.268,1.215,2.1,0.11
36,Dillon Brooks,29,HOU,SF,54,54,1741,7.3,17.6,0.414,3.5,9.1,0.388,3.7,8.5,0.442,0.514,2.1,2.6,0.826,1.8,4.1,5.9,2.4,1.2,0.3,1.5,5.2,20.2,115.0,114,,brookdi01,32.241,Forward,0.517,0.148,0.539,1.6,0.106,1.078,1.5,0.305
37,Amen Thompson,22,HOU,SF,54,27,1735,8.1,14.8,0.548,0.5,2.0,0.271,7.6,12.9,0.59,0.566,4.3,6.0,0.71,4.1,8.2,12.3,5.2,2.1,1.9,3.2,3.6,21.1,121.0,107,,thompam01,32.13,Forward,0.135,0.405,0.605,1.625,0.201,1.21,4.0,0.333
38,Austin Reaves,26,LAL,SG,50,50,1734,8.8,19.7,0.446,3.6,10.1,0.36,5.2,9.6,0.537,0.538,6.0,6.9,0.865,1.2,4.9,6.1,8.7,1.6,0.4,3.5,2.9,27.1,118.0,116,,reaveau01,34.68,Guard,0.513,0.35,0.596,2.486,0.249,1.192,2.0,0.197
39,Dyson Daniels,21,ATL,SG,51,51,1732,7.9,16.8,0.467,1.5,4.6,0.327,6.4,12.2,0.52,0.512,1.7,2.7,0.62,2.3,5.3,7.6,5.5,4.1,1.1,2.5,3.4,18.9,108.0,110,,daniedy01,33.961,Guard,0.274,0.161,0.525,2.2,0.212,1.051,5.199999999999999,0.303
40,Tobias Harris,32,DET,PF,54,54,1722,7.9,17.0,0.466,1.9,5.7,0.33,6.0,11.3,0.535,0.521,3.0,3.4,0.876,1.4,7.6,9.0,3.4,1.4,1.2,1.7,2.8,20.7,116.0,113,,harrito02,31.889,Forward,0.335,0.2,0.56,2.0,0.144,1.119,2.5999999999999996,0.156
41,Brook Lopez,36,MIL,C,54,54,1712,7.0,14.7,0.48,2.9,7.7,0.375,4.2,7.0,0.594,0.578,1.9,2.3,0.819,1.9,5.5,7.4,2.6,1.1,3.0,1.5,3.3,18.9,118.0,113,,lopezbr01,31.704,Center,0.524,0.156,0.601,1.733,0.131,1.203,4.1,0.257
42,Anfernee Simons,25,POR,SG,53,53,1709,9.9,23.2,0.424,4.6,12.2,0.372,5.3,11.0,0.482,0.522,3.7,4.2,0.89,0.5,3.7,4.1,7.5,1.2,0.1,3.2,2.7,28.0,114.0,120,,simonan01,32.245,Guard,0.526,0.181,0.559,2.344,0.21,1.118,1.3,0.119
43,Bilal Coulibaly,20,WAS,SF,51,51,1703,6.3,15.0,0.417,1.5,5.5,0.278,4.7,9.5,0.497,0.468,3.4,4.5,0.753,2.1,5.1,7.2,5.0,1.8,1.0,2.9,3.4,17.4,103.0,120,,coulibi01,33.392,Forward,0.367,0.3,0.512,1.724,0.201,1.025,2.8,0.292
44,Ivica Zubac,27,LAC,C,53,53,1694,10.4,16.9,0.612,0.0,0.0,,10.4,16.9,0.612,0.612,2.7,4.2,0.633,5.8,13.5,19.4,3.8,1.3,1.8,2.6,3.0,23.4,125.0,106,,zubaciv01,31.962,Center,0.0,0.249,0.624,1.462,0.151,1.248,3.1,0.301
45,Jalen Williams,23,OKC,SG,52,52,1690,12.0,25.1,0.478,2.5,7.3,0.349,9.5,17.9,0.53,0.528,4.5,5.8,0.777,1.3,6.9,8.2,7.5,2.6,1.1,3.3,3.5,31.0,114.0,105,,willija06,32.5,Guard,0.291,0.231,0.561,2.273,0.195,1.121,3.7,0.159
46,Zach LaVine,29,2TM,SF,49,49,1689,11.4,22.9,0.5,4.2,9.9,0.419,7.3,12.9,0.562,0.591,4.9,5.9,0.818,0.4,5.9,6.2,6.2,1.3,0.3,3.9,2.2,31.9,114.0,118,,lavinza01,34.469,Forward,0.432,0.258,0.626,1.59,0.174,1.251,1.6,0.063
47,Zach LaVine,29,CHI,SF,42,42,1432,11.8,23.1,0.511,4.4,9.9,0.446,7.4,13.2,0.56,0.607,4.7,5.9,0.797,0.4,6.2,6.6,6.2,1.3,0.3,3.9,2.1,32.8,115.0,118,,lavinza01,34.095,Forward,0.429,0.255,0.638,1.59,0.173,1.276,1.6,0.061
48,Zach LaVine,29,SAC,SG,7,7,257,9.2,21.4,0.43,2.6,10.0,0.264,6.6,11.5,0.574,0.491,5.6,6.0,0.938,0.4,3.9,4.3,6.2,1.3,0.2,3.6,2.6,26.7,109.0,119,,lavinza01,36.714,Guard,0.467,0.28,0.555,1.722,0.183,1.111,1.5,0.093
49,Alperen Şengün,22,HOU,C,54,54,1686,11.7,24.0,0.487,0.5,2.3,0.228,11.2,21.7,0.515,0.498,5.8,8.3,0.692,5.2,11.3,16.4,7.6,1.8,1.2,3.8,4.4,29.7,115.0,107,,sengual01,31.222,Center,0.096,0.346,0.537,2.0,0.195,1.074,3.0,0.315
50,Kentavious Caldwell-Pope,31,ORL,SG,55,55,1667,5.0,12.1,0.41,2.3,7.6,0.307,2.6,4.5,0.583,0.506,1.9,2.2,0.867,0.6,2.8,3.5,2.9,2.4,0.8,1.4,3.2,14.2,110.0,111,,caldwke01,30.309,Guard,0.628,0.182,0.543,2.071,0.167,1.087,3.2,0.176
51,Donovan Mitchell,28,CLE,SG,53,53,1652,13.0,28.5,0.455,5.6,14.1,0.394,7.4,14.4,0.515,0.553,5.4,6.5,0.827,1.1,5.6,6.7,7.3,2.1,0.3,3.1,3.0,36.9,119.0,112,,mitchdo01,31.17,Guard,0.495,0.228,0.588,2.355,0.175,1.177,2.4,0.164
52,Jaylen Brown,28,BOS,SF,47,47,1651,12.0,25.9,0.462,2.7,8.4,0.324,9.2,17.5,0.528,0.514,5.6,7.4,0.75,2.1,6.4,8.5,6.8,1.7,0.4,3.7,3.6,32.2,112.0,112,,brownja02,35.128,Forward,0.324,0.286,0.552,1.838,0.171,1.104,2.1,0.247
53,Kyrie Irving,32,DAL,SG,45,45,1646,12.0,25.0,0.478,3.9,9.5,0.414,8.0,15.5,0.518,0.557,5.1,5.6,0.906,1.5,4.7,6.3,6.3,1.7,0.5,3.0,2.7,33.0,120.0,116,,irvinky01,36.578,Guard,0.38,0.224,0.601,2.1,0.171,1.202,2.2,0.242
54,Damian Lillard,34,MIL,PG,45,45,1638,10.4,23.1,0.447,4.6,12.0,0.379,5.8,11.1,0.521,0.546,8.5,9.2,0.92,0.7,5.6,6.3,9.9,1.6,0.3,3.9,2.4,33.8,122.0,115,,lillada01,36.4,Guard,0.519,0.398,0.623,2.538,0.242,1.245,1.9000000000000001,0.111
55,Coby White,24,CHI,SG,50,50,1635,8.7,20.2,0.429,4.2,11.5,0.368,4.4,8.7,0.51,0.534,4.2,4.7,0.896,0.5,4.2,4.7,6.6,1.3,0.3,3.4,3.1,25.8,111.0,119,,whiteco01,32.7,Guard,0.569,0.233,0.579,1.941,0.205,1.159,1.6,0.106
56,Bennedict Mathurin,22,IND,SF,52,44,1631,9.0,18.8,0.477,2.3,6.4,0.356,6.7,12.4,0.539,0.538,5.2,6.4,0.82,1.9,6.7,8.6,2.9,0.9,0.6,2.8,3.6,25.5,111.0,117,,mathube01,31.365,Forward,0.34,0.34,0.59,1.036,0.106,1.18,1.5,0.221
57,Darius Garland,25,CLE,PG,54,54,1625,12.1,24.6,0.493,4.7,11.0,0.425,7.5,13.6,0.549,0.589,5.0,5.7,0.871,0.9,3.1,4.0,10.6,1.9,0.3,4.0,3.2,34.0,124.0,114,,garlada01,30.093,Guard,0.447,0.232,0.627,2.65,0.254,1.254,2.1999999999999997,0.225
58,Carlton Carrington,19,WAS,PG,55,39,1618,5.4,13.2,0.408,2.6,7.5,0.353,2.7,5.7,0.48,0.508,1.2,1.4,0.833,0.6,5.7,6.3,6.3,1.2,0.3,2.5,3.8,14.6,106.0,122,,carrica01,29.418,Guard,0.568,0.106,0.528,2.52,0.279,1.057,1.5,0.095
59,Tyus Jones,28,PHO,PG,55,54,1613,6.7,15.1,0.444,3.4,8.5,0.397,3.4,6.7,0.502,0.554,1.3,1.5,0.878,0.9,3.2,4.2,9.9,1.5,0.2,2.3,1.6,18.1,121.0,121,,jonesty01,29.327,Guard,0.563,0.099,0.574,4.304,0.354,1.148,1.7,0.22
60,Jaren Jackson Jr.,25,MEM,C,54,54,1605,12.7,25.8,0.492,2.9,8.1,0.357,9.8,17.7,0.554,0.548,7.1,9.1,0.776,2.2,7.2,9.3,3.4,2.0,2.6,3.5,5.3,35.4,116.0,109,,jacksja02,29.722,Center,0.314,0.353,0.594,0.971,0.093,1.188,4.6,0.234
61,Jarrett Allen,26,CLE,C,56,56,1604,9.3,13.2,0.706,0.0,0.1,0.0,9.3,13.1,0.711,0.706,4.1,5.5,0.745,4.5,12.8,17.4,3.3,1.5,1.6,1.9,2.5,22.7,143.0,107,,allenja01,28.643,Center,0.008,0.417,0.727,1.737,0.159,1.453,3.1,0.26
62,Fred VanVleet,30,HOU,PG,45,45,1596,6.9,17.9,0.387,3.7,10.6,0.344,3.3,7.3,0.45,0.489,2.6,3.1,0.824,0.9,4.4,5.3,8.0,2.2,0.6,2.1,3.4,20.1,117.0,111,,vanvlfr01,35.467,Guard,0.592,0.173,0.522,3.81,0.272,1.043,2.8000000000000003,0.17
63,Kevin Durant,36,PHO,PF,43,43,1572,13.3,24.9,0.536,3.2,7.9,0.409,10.1,17.0,0.595,0.601,6.7,8.1,0.827,0.5,7.6,8.1,5.7,1.1,1.8,4.0,2.3,36.7,117.0,117,,duranke01,36.558,Forward,0.317,0.325,0.645,1.425,0.149,1.289,2.9000000000000004,0.062
64,Chris Paul,39,SAS,PG,54,54,1565,5.1,12.3,0.413,2.9,8.0,0.359,2.2,4.3,0.514,0.53,2.2,2.3,0.947,0.7,5.9,6.6,13.4,2.2,0.3,2.5,3.1,15.2,127.0,116,,paulch01,28.981,Guard,0.65,0.187,0.571,5.36,0.459,1.142,2.5,0.106
65,Malik Monk,26,SAC,SG,48,35,1564,9.8,22.2,0.441,3.3,10.2,0.324,6.5,12.0,0.54,0.515,3.7,4.3,0.877,0.6,4.9,5.6,8.6,1.5,1.0,3.3,4.0,26.6,112.0,117,,monkma01,32.583,Guard,0.459,0.194,0.552,2.606,0.239,1.104,2.5,0.109
66,Julius Randle,30,MIN,PF,48,48,1564,10.0,21.2,0.47,2.2,7.0,0.321,7.7,14.3,0.542,0.522,6.4,7.9,0.811,3.2,7.6,10.9,6.7,1.1,0.3,4.3,3.8,28.5,115.0,113,,randlju01,32.583,Forward,0.33,0.373,0.577,1.558,0.188,1.155,1.4000000000000001,0.296
67,Rui Hachimura,26,LAL,PF,48,48,1548,7.8,15.2,0.508,2.6,6.2,0.415,5.2,9.1,0.571,0.592,2.3,3.0,0.771,2.2,5.7,8.0,2.3,1.3,0.7,1.4,2.8,20.4,122.0,116,,hachiru01,32.25,Forward,0.408,0.197,0.617,1.643,0.114,1.235,2.0,0.278
68,Deni Avdija,24,POR,SF,54,36,1547,8.3,17.8,0.466,2.5,7.4,0.342,5.8,10.5,0.553,0.536,5.9,7.7,0.771,2.0,8.6,10.6,5.9,1.7,0.9,4.2,4.0,25.1,113.0,114,,avdijde01,28.648,Forward,0.416,0.433,0.592,1.405,0.189,1.185,2.6,0.189
69,Malik Beasley,28,DET,SG,56,12,1540,10.1,22.9,0.439,6.9,16.4,0.42,3.2,6.5,0.488,0.59,1.9,2.9,0.681,1.0,3.9,4.9,3.0,1.7,0.1,1.9,2.6,29.0,118.0,116,,beaslma01,27.5,Guard,0.716,0.127,0.6,1.579,0.103,1.2,1.8,0.204
70,Payton Pritchard,27,BOS,PG,55,0,1538,8.8,18.7,0.471,5.7,13.8,0.415,3.1,4.9,0.629,0.624,1.6,2.0,0.836,2.3,4.3,6.7,6.2,1.5,0.3,1.8,2.8,24.9,131.0,113,,pritcpa01,27.964,Guard,0.738,0.107,0.636,3.444,0.225,1.272,1.8,0.348
71,Josh Giddey,22,CHI,PG,53,53,1535,7.6,16.8,0.451,2.3,6.3,0.361,5.3,10.5,0.506,0.519,2.9,3.8,0.774,2.8,9.0,11.7,10.3,1.8,1.0,4.3,2.7,20.4,112.0,115,,giddejo01,28.962,Guard,0.375,0.226,0.552,2.395,0.311,1.104,2.8,0.237
72,Victor Wembanyama,21,SAS,C,46,46,1527,12.9,27.1,0.476,4.5,12.8,0.352,8.4,14.4,0.586,0.559,5.0,6.0,0.836,2.6,13.4,16.0,5.3,1.6,5.6,4.7,3.3,35.3,109.0,106,,wembavi01,33.196,Center,0.472,0.221,0.593,1.128,0.133,1.187,7.199999999999999,0.162
73,Stephen Curry,36,GSW,PG,47,47,1514,11.7,26.9,0.436,6.6,16.8,0.39,5.2,10.1,0.511,0.558,5.2,5.6,0.925,0.8,5.9,6.7,9.1,1.6,0.7,4.3,1.9,35.1,116.0,114,,curryst01,32.213,Guard,0.625,0.208,0.598,2.116,0.213,1.195,2.3,0.119
74,Norman Powell,31,LAC,SG,45,45,1511,12.3,24.7,0.496,4.9,11.4,0.428,7.4,13.3,0.555,0.595,5.9,7.1,0.819,0.5,4.6,5.2,3.2,1.9,0.3,3.0,2.8,35.3,118.0,112,,powelno01,33.578,Guard,0.462,0.287,0.634,1.067,0.094,1.269,2.1999999999999997,0.098
75,Jordan Poole,25,WAS,SG,48,48,1506,10.3,24.7,0.416,5.2,14.2,0.367,5.1,10.5,0.481,0.521,5.9,6.7,0.874,0.8,4.1,4.8,7.4,2.1,0.7,5.0,4.9,31.6,106.0,120,,poolejo01,31.375,Guard,0.575,0.271,0.571,1.48,0.185,1.143,2.8,0.163
76,Harrison Barnes,32,SAS,PF,54,54,1505,6.9,14.0,0.494,2.8,6.7,0.411,4.1,7.3,0.571,0.593,3.5,4.3,0.807,2.5,4.7,7.2,3.1,0.6,0.3,1.0,1.6,20.1,131.0,120,,barneha02,27.87,Forward,0.479,0.307,0.632,3.1,0.155,1.265,0.8999999999999999,0.347
77,Naz Reid,25,MIN,C,56,9,1502,10.0,20.6,0.486,4.1,10.1,0.406,5.9,10.5,0.564,0.586,2.7,3.4,0.798,1.9,8.5,10.4,3.8,1.4,1.7,2.2,4.4,26.9,120.0,110,,reidna01,26.821,Center,0.49,0.165,0.609,1.727,0.135,1.217,3.0999999999999996,0.183
78,Evan Mobley,23,CLE,PF,50,50,1496,11.5,20.1,0.572,1.7,4.5,0.379,9.8,15.6,0.627,0.614,5.0,6.6,0.762,3.6,11.2,14.7,4.8,1.4,2.5,3.0,3.3,29.7,126.0,107,,mobleev01,29.92,Forward,0.224,0.328,0.646,1.6,0.156,1.291,3.9,0.243
79,Jalen Wilson,24,BRK,PF,55,15,1495,5.8,14.7,0.396,2.6,8.2,0.316,3.2,6.5,0.497,0.484,2.8,3.4,0.824,2.0,4.5,6.5,3.5,1.0,0.1,2.1,3.8,17.0,107.0,118,,wilsoja03,27.182,Forward,0.558,0.231,0.525,1.667,0.161,1.05,1.1,0.308
80,Scottie Barnes,23,TOR,PF,43,43,1491,10.5,23.6,0.445,1.8,6.9,0.264,8.7,16.7,0.519,0.483,5.0,6.5,0.774,2.1,8.9,11.0,8.7,2.0,1.6,4.1,2.8,27.8,107.0,114,,barnesc01,34.674,Forward,0.292,0.275,0.525,2.122,0.222,1.051,3.6,0.191
81,Luguentz Dort,25,OKC,SF,51,51,1477,5.8,13.6,0.43,3.7,9.2,0.404,2.1,4.4,0.485,0.567,1.1,1.3,0.825,2.3,4.6,6.9,2.7,1.8,1.0,1.1,5.1,16.5,122.0,108,,dortlu01,28.961,Forward,0.676,0.096,0.582,2.455,0.15,1.164,2.8,0.333
