Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,MPG,Primary_Position,3PAr,FTr,TS%,AST/TOV,AST_Ratio,PPS,STL+BLK,ORB_Rate
91,Jamal Murray,25,DEN,PG,65,65,2133,10.8,23.9,0.454,3.9,9.9,0.398,6.9,14.0,0.494,0.537,4.1,5.0,0.833,1.1,4.8,5.9,9.2,1.5,0.4,3.3,2.4,29.8,116,116,,murraja01,32.815,Guard,0.414,0.209,0.571,2.788,0.238,1.142,1.9,0.186
92,John Collins,25,ATL,PF,71,71,2130,8.0,15.8,0.508,1.6,5.4,0.292,6.5,10.5,0.619,0.557,3.2,4.0,0.803,1.7,8.6,10.3,1.9,0.9,1.6,1.8,4.9,20.8,117,115,,collijo01,30.0,Forward,0.342,0.253,0.592,1.056,0.089,1.185,2.5,0.165
93,Saddiq Bey,23,2TM,SF,77,37,2129,8.0,18.9,0.422,3.4,9.5,0.361,4.6,9.5,0.483,0.513,4.6,5.4,0.861,2.2,6.0,8.2,2.7,1.6,0.3,1.6,2.8,24.1,117,119,,beysa01,27.649,Forward,0.503,0.286,0.566,1.688,0.106,1.133,1.9000000000000001,0.268
94,Saddiq Bey,23,DET,SF,52,30,1500,7.9,19.6,0.404,3.3,9.5,0.345,4.7,10.1,0.46,0.488,5.8,6.8,0.861,1.9,5.9,7.8,2.7,1.6,0.4,1.7,2.8,24.9,115,119,,beysa01,28.846,Forward,0.485,0.347,0.551,1.588,0.1,1.102,2.0,0.244
95,Saddiq Bey,23,ATL,SF,25,7,629,8.2,17.4,0.47,3.8,9.5,0.4,4.4,8.0,0.552,0.578,1.9,2.2,0.862,3.0,6.1,9.1,2.6,1.5,0.1,1.3,2.8,22.1,124,117,,beysa01,25.16,Forward,0.546,0.126,0.602,2.0,0.117,1.203,1.6,0.33
96,De'Andre Hunter,25,ATL,SF,67,67,2126,8.5,18.4,0.461,2.2,6.4,0.35,6.3,12.0,0.521,0.522,3.8,4.6,0.826,1.0,5.3,6.4,2.1,0.8,0.4,1.8,4.5,23.1,112,119,,huntede01,31.731,Forward,0.348,0.25,0.566,1.167,0.086,1.131,1.2000000000000002,0.159
97,Russell Westbrook,34,2TM,PG,73,24,2126,9.7,22.3,0.436,2.0,6.4,0.311,7.7,15.9,0.487,0.481,4.6,7.1,0.656,2.0,7.5,9.5,12.4,1.7,0.7,5.7,3.6,26.1,104,113,6MOY-9,westbru01,29.123,Guard,0.287,0.318,0.513,2.175,0.285,1.027,2.4,0.211
98,Russell Westbrook,34,LAL,PG,52,3,1491,9.7,23.2,0.417,2.0,6.8,0.296,7.7,16.4,0.467,0.46,5.0,7.6,0.655,1.9,8.3,10.2,12.4,1.7,0.7,5.8,3.8,26.3,101,113,,westbru01,28.673,Guard,0.293,0.328,0.495,2.138,0.277,0.991,2.4,0.186
99,Russell Westbrook,34,LAC,PG,21,21,635,9.9,20.2,0.489,2.0,5.6,0.356,7.9,14.6,0.54,0.538,3.9,5.9,0.658,2.3,5.6,7.9,12.3,1.8,0.8,5.5,3.2,25.6,111,115,,westbru01,30.238,Guard,0.277,0.292,0.562,2.236,0.303,1.123,2.6,0.291
100,Quentin Grimes,22,NYK,SG,71,66,2121,6.6,14.0,0.468,3.7,9.5,0.386,2.9,4.5,0.641,0.599,1.8,2.3,0.796,1.1,4.2,5.3,3.5,1.1,0.6,1.6,4.1,18.6,125,117,,grimequ01,29.873,Guard,0.679,0.164,0.62,2.188,0.174,1.239,1.7000000000000002,0.208
101,Kristaps Porziņģis,27,WAS,C,65,65,2120,11.6,23.4,0.498,3.1,8.2,0.385,8.5,15.2,0.559,0.565,8.1,9.6,0.851,2.6,9.9,12.5,4.0,1.3,2.3,3.1,4.5,34.6,121,113,,porzikr01,32.615,Center,0.35,0.41,0.626,1.29,0.115,1.253,3.5999999999999996,0.208
102,Gary Trent Jr.,24,TOR,SG,66,44,2118,9.5,21.8,0.433,3.9,10.5,0.369,5.6,11.3,0.493,0.522,4.0,4.8,0.839,0.7,3.3,4.0,2.5,2.4,0.3,1.3,2.4,26.8,116,116,,trentga02,32.091,Guard,0.482,0.22,0.56,1.923,0.09,1.121,2.6999999999999997,0.175
